23:02:18–23:02:21  I say '哎，我操，这可以哈！'.
23:50:48–23:50:52  I ride the escalator.
23:50:53–23:50:55  I look at my companion.
23:50:56–23:51:01  I walk toward the exit doors.
23:51:02–23:51:04  I walk through the glass exit doors.
23:51:05–23:51:10  I walk past an illuminated directory pillar.
23:51:11–23:51:17  I walk along the outdoor path.
23:51:18–23:51:21  I say '空气还不错。'.
23:51:21–23:51:24  Companion says '讲话嘞！'.
23:51:24–23:51:33  I say '我真觉得海南鸡很一般，真真的一般，就那两片肉还行。'.
23:51:33–23:51:48  I walk along the corridor.
23:51:48–23:51:53  My companion says '那肉行只是因为肉行，不是因为海，不是因为椰子鸡，所以它行。'
23:51:53–23:51:59  I say '对啊，我不知道为什么为什么会这么多人排队排这个呢？我完全搞不懂。'
23:51:59–23:52:08  My companion says '其实我其实我觉得还行啊，就是那种喝汤然后吃点肉啥的，还挺就是清淡的。'
23:52:08–23:52:13  I say '就这就这就这鸡，哎，没下次。'
23:52:13–23:52:18  I say '真一般，我感觉甚至不如那旁边的地摊麻辣烫。'
23:52:18–23:52:23  My companion says '人海南鸡吃的就是淡口，你知道吧？就是那种淡淡的味儿，you know？'.
23:52:23–23:52:26  I say '我根本就没尝到味儿。' to my companion.
23:52:26–23:52:31  My companion says '我你说我喝那个汤，沾我的酱吗？你沾酱都没尝味儿。'.
23:52:31–23:52:39  I say '不是，就就那酱，就是，就是我感觉就是纯酱油酱吧，就类似老酱油那种味道。' to my companion.
23:52:39–23:52:45  My companion says '那可不咋的，还我还加了沙姜、蒜、小米辣、青柠汁、醋。'.
23:52:45–23:52:48  I walk along the covered walkway.
23:52:48–23:52:52  My companion says '酱油，甚至不如随便一个普通火锅，我感觉。'
23:52:52–23:52:58  My companion says '它这种就是，就是走的路线跟那种普通火锅是不一样的，就是吃的惯的人就会觉得它很好吃，然后比较清淡，然后。'
23:52:58–23:53:03  I hear '你说我喝那个汤，我可以，我可以理解，挺好喝的。那鸡肉就是得蘸料吃。'
23:53:03–23:53:08  My companion says '然然，然后上面还飘着一层油，然后吃起来也挺有油水。哦，不是，那个汤喝起来挺有油水的。'
23:53:08–23:53:11  I ask '你觉得那？你觉得那煲仔饭好吃吗？'
23:53:11–23:53:13  My companion says '还可以。'
23:53:13–23:53:15  My companion says '我觉得那饭也行。'
23:53:15–23:53:18  I say '我也觉得还。'
23:53:18–23:53:26  I walk along the walkway.
23:53:26–23:53:36  I walk forward along the corridor.
23:53:37–23:53:41  I say '看，别踩到它了。'
23:53:42–23:53:48  I walk behind pedestrians.
23:53:48–23:53:52  I walk along a garden corridor.
23:53:52–23:53:55  I look toward the garden bed.
23:53:55–23:53:58  I glance at the walkway tiles.
23:53:58–23:54:01  I walk toward the corridor junction.
23:54:01–23:54:04  I look at the vending machines.
23:54:04–23:54:07  I turn right along the corridor.
23:54:07–23:54:12  I walk along the curved window wall.
23:54:12–23:54:15  I approach the glass lobby entrance.
23:54:15–23:54:18  I walk past the lobby entrance.
23:54:18–23:54:22  I walk along the walkway while listening to companion say '爬到里面，然后还叫了那个消防过来，就把它弄走。主要是野猴，你也不敢怎么弄它，万一身上带病毒啥的，咱也不知道。'
23:54:22–23:54:25  I look at the canopy lighting.
23:54:25–23:54:32  I say '那我见着野猴，我肯定从楼上拿把拿根香蕉给他。'
23:54:32–23:54:39  I walk down the walkway as companion says '那万一个人给你，我给你知道为什么不能喂野生动物？'
23:54:39–23:54:44  I walk along the corridor while companion says '就是人给他喂的越多，他就越觉得人能够给他吃的就越来越少。'
23:54:44–23:54:48  I walk down the corridor as companion says '然后他们。'
23:54:48–23:55:00  I walk along a covered corridor.
23:55:00–23:55:10  I follow the pathway around the corner.
23:55:10–23:55:14  I glance at the glass lobby entrance.
23:55:14–23:55:18  I walk toward the garden area.
23:55:18–23:55:27  I walk along the outdoor corridor.
23:55:28–23:55:34  I approach pedestrians.
23:55:34–23:55:37  I say '哦哦。哦，我以为在猫。'
23:55:37–23:55:47  I walk down the illuminated corridor.
23:55:48–23:55:51  I say '叫呢？我还准备过去看热闹呢。'
23:55:51–23:55:54  Companion says '人家一家人不要去，你突然冲过去，咋了？'
23:55:54–23:55:56  I say '看看发生个啥事儿。让我康康。'
23:55:56–23:56:01  Companion says '你这一身爱凑热闹，中国人去。'
23:56:01–23:56:12  Companion says '你就是属于那种，你在街上遇到那种吵架，你就非得停下来围在那人群中间，还得扒拉到最前排去看。'
23:56:12–23:56:18  I say '那必须，还得添把火。'
23:56:18–23:56:22  I walk forward.
23:56:22–23:56:27  I say '真是坏事儿了！'
23:56:27–23:56:33  I say '吃别人的瓜吃的倒好，能看到你自己身上咋办？'
23:56:33–23:56:37  I gesture with my hand.
23:56:37–23:56:43  I say '人家吃，还真是人人为你为。'
23:56:43–23:56:47  I approach the entrance.
23:56:48–23:56:55  I say '也不知道我大四的时候在心理所实习的咋样，他们那些人咋样？'
23:56:55–23:57:04  Companion says '联系一下呗，能联。'
23:57:04–23:57:09  I glance toward the courtyard garden.
23:57:09–23:57:17  I walk along the outdoor corridor.
23:57:18–23:57:21  I walk along the walkway.
23:57:21–23:57:25  I say '你是说你的同学还是说是老师？'
23:57:25–23:57:31  I walk past a pedestrian.
23:57:31–23:57:35  I say '有他们的联系方式吗？'
23:57:35–23:57:39  I walk past structural pillars.
23:57:39–23:57:44  I say '可以聊一聊，联络联络感情。'
23:57:44–23:57:48  I walk into the courtyard.
23:57:48–23:57:50  I say '一段时间。实习过呀。'
23:57:50–23:57:55  I say '心理所，当时是做我自己想做的。'
23:57:55–23:58:08  I say '大三的时候在星海图是一个 University X 的老师开的公司。'
23:58:08–23:58:18  I say '大三上的时候在中科院自动化所。'
23:58:18–23:58:21  I walk along the walkway.
23:58:21–23:58:25  I walk along the colonnade.
23:58:25–23:58:34  I hold hands while walking.
23:58:34–23:58:40  I say '张立恒，张旭，张立恒，莫昭雪，莫昭雪，张旭，张旭'.
23:58:40–23:58:44  I say '喂？一二一二三，三。'.
23:58:44–23:58:48  I walk past the delivery courier.
23:58:48–23:58:54  I say "六七，十十一，十六十七，二三，四三。".
23:58:54–23:59:03  I say "那天Jacky突然问我，突然林真奇手就开始问我，你喜欢Jacky什么？".
23:59:03–23:59:12  I say "你喜欢Russell什么？Russ。".
23:59:12–23:59:18  I glance at the illuminated glass entrance.
23:59:18–23:59:22  I walk along the pathway while my companion says '他喜欢你什么？我说，我说他喜欢我什么？你得去问他，我也不知道他喜欢我。'
23:59:23–23:59:26  My companion exclaims '呜！啊，吓我一跳！So cute！'
23:59:27–23:59:30  I say '你们不要这么大惊小怪。走吧。'
23:59:31–23:59:38  I say '蜗牛吃蛋糕吗？'
23:59:39–23:59:45  I say '死了还是没死？'
23:59:46–23:59:47  I say '我操，没死啊！他。'
23:59:48–23:59:52  I say '它伸着头呢，它伸它它都伸着耳朵呢，它哪哪死了？'
23:59:52–23:59:55  Companion asks '你喜欢我什么？'
23:59:55–23:59:58  I say '我就喜欢你什么？你喜欢我什么？'
23:59:58–00:00:04  Companion asks '哎，你干嘛去呀？'
00:00:04–00:00:10  I say '我什么都喜欢。'
00:00:10–00:00:17  Companion says '什么什么都喜欢就是什么。'
00:00:18–00:00:25  I walk along pathway.
00:00:25–00:00:32  I say '都喜欢，什么都喜欢，就是什么都喜欢。'
00:00:32–00:00:41  I sing '想你的夜。'
00:00:41–00:00:48  I walk with companion.
00:00:48–00:00:54  I walk along an outdoor stone walkway.
00:00:54–00:01:00  I walk down the illuminated walkway.
00:01:01–00:01:06  I look at my companion's shoes.
00:01:07–00:01:18  I walk along the wet tiled corridor.
00:01:18–00:01:34  I walk along the outdoor pathway.
00:01:35–00:01:38  I push open the glass door.
00:01:39–00:01:42  I walk across the lobby.
00:01:43–00:01:47  I open the South Court elevator door.
00:01:48–00:01:51  I push open a glass door.
00:01:51–00:01:55  I approach the elevator.
00:01:55–00:01:58  I enter the elevator.
00:01:58–00:02:01  I press the floor 35 button.
00:02:01–00:02:06  I make space for a passenger.
00:02:06–00:02:17  I ride the elevator.
00:02:18–00:02:30  I say '感觉海南鸡不如咱去吃个龙江猪脚饭，咱四个之后坐那个地摊儿边儿，一人点个龙江猪脚饭，再点个麻辣虾尾。'
00:02:31–00:02:42  I say '对于他们终于上班了的人，很少会到这种地方。'
00:02:43–00:02:45  I watch the elevator doors open.
00:02:45–00:02:47  I follow my companion exiting the elevator.
00:02:48–00:02:51  I walk into the corridor.
00:02:51–00:02:55  I say '他们在这住的酒店，我看了一下，都是八九百一个晚上。'
00:02:55–00:02:59  Companion says '这么有钱？哦，不会因为五一贵了吧？'
00:02:59–00:03:04  I say '我看了一下，不是五一，也要六百块钱一个晚上。'
00:03:04–00:03:09  Companion says '他俩多有钱呀！广州公务员工资挺高。'
00:03:09–00:03:17  I say '不是，我没说钱不钱的，我那个那个猪脚饭，我是说味道，对。'
00:03:18–00:03:24  I wait for the door to unlock.
00:03:24–00:03:38  I say '对，对，就是别人看起来有面儿一点，但实际上 who cares 呢？'
00:03:38–00:03:43  I enter the apartment.
00:03:43–00:03:47  I walk toward door B.
00:03:48–00:03:51  I open the bedroom door.
00:03:51–00:03:54  I say '我操！这何意味啊？'.
00:03:54–00:03:58  I look at the storage shelf.
00:03:58–00:04:01  I lower the GU paper bag.
00:04:01–00:04:04  I walk toward the study desk.
00:04:04–00:04:18  I pick up the laptop.
00:04:18–00:04:22  I hold a laptop at the desk.
00:04:23–00:04:26  I watch a video on my phone.
00:04:27–00:04:31  I browse WeChat messages.
00:04:32–00:04:35  I place the smartphone down.
00:04:36–00:04:41  I pick up a portable printer.
00:04:42–00:04:46  I inspect the label printer.
00:04:47–00:04:47  I look at the desk.
00:04:48–00:04:51  I open the MacBook lid.
00:04:51–00:04:53  I look at the lock screen.
00:04:53–00:04:58  I lift the MacBook.
00:04:58–00:05:10  I adjust the laptop stand.
00:05:10–00:05:14  I place the MacBook on the stand.
00:05:14–00:05:16  I touch the Touch ID sensor.
00:05:16–00:05:17  I say '看十分钟书。'
00:05:17–00:05:18  I view the browser reading tab.
00:05:18–00:05:20  I view the Claude Code window.
00:05:20–00:05:24  I say '我先看十十五分钟书，看一会儿书。好久没看书了。'
00:05:24–00:05:28  I say '这书，这个这这这个老好看。'
00:05:28–00:05:31  The person beside me says '看完给我分享一下。'
00:05:31–00:05:33  I say '一起看吧。'
00:05:33–00:05:41  The person beside me says '看完给我分享一下。给我概括一下。'
00:05:41–00:05:48  I say '好家伙，直接成GPT了。'
00:05:48–00:05:51  I monitor the WeChat Read page loading.
00:05:52–00:05:54  I navigate to WeChat Read bookshelf in Chrome.
00:05:55–00:06:00  I monitor the bookshelf loading.
00:06:01–00:06:04  I open Claude Code from the Dock.
00:06:05–00:06:09  I read Claude Code troubleshooting steps for Aria Gen 1.
00:06:10–00:06:14  I browse my WeChat Read bookshelf.
00:06:15–00:06:17  I open '能量、性、自杀（译文科学）' on WeChat Read.
00:06:18–00:06:20  I view the copyright page.
00:06:21–00:06:25  Someone asks '可以先洗手吗，亲爱的？' while I browse the table of contents.
00:06:26–00:06:28  I select the introduction chapter.
00:06:29–00:06:36  I examine the mitochondrion diagram.
00:06:37–00:06:47  I read the mitochondrial introduction text.
00:06:48–00:07:00  I read an article about mitochondria.
00:07:00–00:07:03  I scroll down the page.
00:07:04–00:07:10  I read the mitochondria article.
00:07:11–00:07:13  I say '嗯，等一下。'
00:07:14–00:07:18  I read the article text.
00:07:18–00:07:20  I read an article about mitochondria.
00:07:20–00:07:23  My roommate exclaims '我去，我去，我的腿痛啊！'.
00:07:23–00:07:26  My roommate says '没事。'.
00:07:26–00:07:28  I look back at my MacBook.
00:07:28–00:07:40  I read about Mitochondrial Eve and cellular energy.
00:07:40–00:07:44  I scroll through the article.
00:07:44–00:07:48  I read about mitochondria in forensic identification.
00:07:48–00:08:04  I read the article about '线粒体夏娃' and maternal inheritance.
00:08:04–00:08:08  I say '怎么回事？忘忘记去查了，我去。'
00:08:08–00:08:12  I scroll down the page.
00:08:12–00:08:14  I say '爸。'
00:08:14–00:08:17  I read the forensic mitochondrial DNA section.
00:08:18–00:08:26  I read the article about mitochondrial DNA forensic identification.
00:08:26–00:08:31  Someone says '都湿了，你在晚上睡啥呀？太湿。'
00:08:31–00:08:41  I read the article section on mitochondrial gene copies versus nuclear DNA.
00:08:41–00:08:48  I read about maternal inheritance and the mitochondrial aging theory heading.
00:08:48–00:09:02  I read the mitochondrial DNA article.
00:09:03–00:09:05  I scroll down the article.
00:09:06–00:09:17  I read the scrolled text.
00:09:18–00:09:25  I read the mitochondrial free radical theory text.
00:09:26–00:09:35  I read about mitochondrial mutation inheritance and degeneration.
00:09:36–00:09:42  I read about mitochondrial replacement therapy.
00:09:43–00:09:47  I scroll down the document.
00:09:48–00:09:52  I read an article about mitochondrial replacement.
00:09:52–00:10:02  I read the article.
00:10:02–00:10:06  I scroll on the trackpad.
00:10:06–00:10:14  I read the article.
00:10:14–00:10:17  I read the article.
00:10:48–00:11:02  I read the article about mitochondria and apoptosis.
00:11:02–00:11:10  A person places a potted plant on the shelf.
00:11:10–00:11:12  I say '嗯。'
00:11:12–00:11:18  I read about mitochondria and complex multicellular organisms.
00:11:48–00:12:02  I read the article about mitochondrial endosymbiosis.
00:12:02–00:12:18  I read the paragraph on mitochondrial genetic analysis.
00:12:18–00:12:30  I read an article about mitochondrial origin hypotheses and endosymbiosis.
00:12:31–00:12:35  I scroll down the webpage.
00:12:36–00:12:47  I read the article section on mitochondria and sexual reproduction.
00:12:48–00:12:49  I read the article.
00:12:49–00:12:51  I glance toward the right side.
00:12:51–00:13:17  I read the article paragraphs.
00:13:18–00:13:31  I read an article.
00:13:32–00:13:35  I scroll down the webpage.
00:13:36–00:13:47  I read the article.
00:13:48–00:13:54  I read the academic article about structural linguistics and genetics.
00:13:55–00:13:58  I scroll the document.
00:13:59–00:14:18  I read the scrolled article section.
00:14:18–00:14:26  I read the article on energy production mechanisms and chemiosmosis.
00:14:27–00:14:35  I glance at the screen margin.
00:14:35–00:14:36  I say '嗯。'
00:14:36–00:14:45  I read the paragraph on tuberculosis and mitochondrial genes.
00:14:46–00:14:48  I scroll the web page.
00:14:48–00:14:49  I read the article heading and first paragraph.
00:14:50–00:14:50  I look at the macOS dock.
00:14:51–00:15:01  I read the paragraph about mitochondrial gene retention.
00:15:02–00:15:11  I read the explanation of core mitochondrial genes.
00:15:12–00:15:17  I read the third paragraph on evolutionary biology.
00:15:18–00:15:33  I read the article about chemiosmosis and mitochondrial genome retention.
00:15:33–00:15:36  I scroll down the web article.
00:15:36–00:15:47  I read the article section on multicellular life, aging, and death.
00:15:48–00:15:57  I read an article about evolutionary biology.
00:15:58–00:16:17  I read about cell biology fundamentals.
00:16:18–00:16:20  I read the biology article.
00:16:20–00:16:23  I scroll the webpage.
00:16:23–00:16:47  I read the article section about DNA and cytoplasm.
00:16:48–00:16:53  I read the paragraph on red blood cells.
00:16:53–00:17:10  I read the paragraph on cytoplasm and DNA.
00:17:10–00:17:13  I scroll down the page.
00:17:13–00:17:17  I read the paragraph on human cell complexity.
00:17:18–00:17:25  I read text about cytoplasm and DNA.
00:17:26–00:17:34  I read text about cell biochemical complexity.
00:17:35–00:17:47  I read text about human cell structures.
00:17:48–00:17:53  I read the cell biology article.
00:17:54–00:17:56  I say '嗯。'
00:17:57–00:18:17  I read the text about chromosomes and DNA.
00:18:18–00:18:22  I read the article about eukaryotic cells and DNA.
00:18:22–00:18:24  I scroll down the article.
00:18:24–00:18:32  I read the scrolled text on chromosome structure.
00:18:32–00:18:36  I say '有点困，但是还是挺感兴趣的。'
00:18:36–00:18:48  I read the text on DNA replication.
00:18:48–00:18:54  I read chromosome structure.
00:18:55–00:19:04  I read about diploid cells.
00:19:05–00:19:11  I read about histones.
00:19:12–00:19:18  I read about Francis Crick.
00:19:18–00:19:25  I read the article about chromosomes and histones protecting DNA.
00:19:25–00:19:33  I read about diploid cells and DNA stability.
00:19:33–00:19:35  I murmur '哼。'.
00:19:35–00:19:43  I read about Francis Crick and genetic inheritance.
00:19:43–00:19:45  I scroll down the webpage.
00:19:45–00:19:48  I read about the central dogma and nucleotide sequence translation.
00:19:48–00:20:06  I read the DNA structure and central dogma article.
00:20:07–00:20:09  I look at the potted plant.
00:20:10–00:20:17  I read the mutation and codon redundancy text.
00:20:48–00:20:53  The roommate says '嗯，还行嘛，还行。其实有一部分原因有有可能是在厕所，对。'
00:20:53–00:20:56  I say '你为啥不把它拿出来？通风就好一些。'
00:20:56–00:20:58  The roommate says '下次拿。'
00:20:58–00:21:03  I ask '你下次再忘怎么办？'
00:21:03–00:21:07  The roommate says '再忘就洗。'
00:21:07–00:21:10  I glance at the ceiling light.
00:21:10–00:21:12  I say '嗯。'
00:21:12–00:21:18  I read the article about DNA structure.
00:21:18–00:21:24  I read the article about DNA and genetics.
00:21:24–00:21:27  I say '我感觉黄色也有。'
00:21:27–00:21:30  I read about genetic degeneracy.
00:21:30–00:21:35  I say '明天一起洗，那我先洗澡了。'
00:21:35–00:21:39  I read about proteins on the screen.
00:21:39–00:21:43  I say '是吧？'
00:21:43–00:21:45  I reach towards the laptop trackpad.
00:21:46–00:21:47  I scroll down the webpage.
00:21:48–00:21:54  I read the text on genetic mutations and codon redundancy.
00:21:54–00:22:04  I read about protein diversity and enzyme functions.
00:22:04–00:22:14  I read about DNA storage and mRNA transcription.
00:22:14–00:22:18  I read about RNA and DNA structural stability.
00:22:18–00:22:34  I read the article about amino acid sequences and protein functions.
00:22:35–00:22:37  I scroll down the webpage.
00:22:38–00:22:47  I read the article text about RNA transcription and ribosomes.
00:22:48–00:22:54  I read about DNA information storage and RNA copying.
00:22:54–00:23:00  I read about mRNA and genetic sequences.
00:23:00–00:23:01  I say '嗯。'
00:23:01–00:23:10  I read about mRNA entering cytoplasm to ribosomes.
00:23:10–00:23:18  I read about ribosomes translating mRNA to produce proteins.
00:23:18–00:23:23  I read the mRNA explanation.
00:23:24–00:23:33  I read about ribosome protein synthesis.
00:23:34–00:23:42  I read the translation mechanism details.
00:23:43–00:23:47  I glance at the screen bottom.
00:23:48–00:24:09  I read the biology article.
00:24:10–00:24:12  I scroll down the article.
00:24:13–00:24:17  I read about transcription factors and mitochondria.
00:24:18–00:24:28  I read the biology article on ribosomes and mitochondria.
00:24:28–00:24:38  I read about mitochondrial size and metabolic abundance.
00:24:38–00:24:48  I finish reading the paragraph on mitochondria.
00:24:48–00:24:51  I read text about ribosomes and mitochondria.
00:24:51–00:24:52  I say '我操！'.
00:24:52–00:24:55  I scroll down the webpage.
00:24:55–00:25:17  I examine the mitochondrion diagram.
00:25:18–00:25:28  I inspect the mitochondrion diagram and text.
00:25:29–00:25:35  I read the text beneath the diagram.
00:25:36–00:25:38  I scroll down the article.
00:25:39–00:25:47  I read about mitochondrial dynamics and discovery history.
00:25:48–00:25:51  I read the WeChat Reading text about mitochondria.
00:25:51–00:25:54  I say '不是电子显微镜，一八八六年就有了。'
00:25:54–00:26:04  I scan the screen text.
00:26:04–00:26:06  I click '下一页'.
00:26:06–00:26:11  I read the text about Altmann's bioblast theory.
00:26:11–00:26:18  I look toward my bed.
00:26:18–00:26:19  I look at the laptop screen.
00:26:19–00:26:47  I read the article about Altmann's bioblast theory and mitochondria.
00:26:48–00:27:04  I read the article about Altmann and mitochondria.
00:27:05–00:27:08  I scroll down the webpage.
00:27:09–00:27:17  I read about mitochondria respiration and endosymbiosis.
00:27:18–00:27:25  I read the Weread article on mitochondria discovery.
00:27:25–00:27:35  I read about mitochondrial endosymbiosis.
00:27:35–00:27:42  I read the endosymbiosis section.
00:27:42–00:27:45  I say '我操！这他妈好神奇啊！'.
00:27:45–00:27:48  I navigate to the Weread bookshelf.
00:27:48–00:27:48  I view WeChat Read recommendations.
00:27:49–00:27:50  I read 《能量、性、自杀（译文科学）》 on WeChat Read.
00:27:51–00:27:54  I view a PDF titled '幸福感'.
00:27:55–00:27:57  I place my hand on the trackpad area.
