19:37:23–19:37:27  I adjust the chair.
20:34:40–20:34:43  I say "乘以六乘四等于就是。"
20:34:43–20:34:47  I position my pen.
20:34:47–20:34:54  I write singular value matrix entries.
20:34:54–20:35:08  I write math calculations on notepad.
20:35:08–20:35:10  I set down the pen and notepad.
20:35:10–20:35:17  I scroll through the document on MacBook.
20:35:17–20:35:19  I say "Great."
20:35:19–20:35:24  I read the document on MacBook.
20:35:24–20:35:26  I say '嗯。'
20:35:26–20:35:38  I view the PDF document on the laptop.
20:35:38–20:35:41  I check the lined notepad on the desk.
20:35:41–20:35:45  I place my hands on the laptop keyboard.
20:35:45–20:35:49  I type '(c) Write down the SVD decomposition for X.' into ChatGPT.
20:35:49–20:35:54  I watch ChatGPT process the prompt.
20:35:54–20:35:56  I open a Google new tab.
20:35:56–20:35:58  I navigate to apple.com.cn.
20:35:58–20:36:03  I browse the Apple homepage product banners.
20:36:03–20:36:07  I open the MacBook Air page.
20:36:07–20:36:17  I read the MacBook Air overview.
20:36:18–20:36:23  I review MacBook Air battery specifications.
20:36:24–20:36:32  I browse the MacBook feature carousel.
20:36:33–20:36:40  I read the macOS Tahoe features on the webpage.
20:36:41–20:36:53  I view the '行动力叠满' MacBook showcase section.
20:36:54–20:36:56  I view the MacBook Air webpage.
20:36:56–20:37:06  I view the 13-inch and 15-inch display options.
20:37:06–20:37:08  I scroll past MacBook Air chassis renders.
20:37:08–20:37:17  I view the keyboard hardware section.
20:37:17–20:37:24  I browse the MacBook Air lifestyle gallery.
20:37:24–20:37:34  I browse the MacBook Air photo carousel.
20:37:34–20:37:38  I scroll the MacBook Air webpage.
20:37:38–20:37:46  I examine the M3 chip performance section.
20:37:46–20:37:54  I view a MacBook Air lifestyle photo.
20:37:54–20:37:56  I view the MacBook Air battery life webpage.
20:37:57–20:38:10  I view the MacBook Air AI performance section.
20:38:11–20:38:13  I scroll past the keyboard section.
20:38:14–20:38:17  I view the '亮出新可能' display feature section.
20:38:18–20:38:23  I inspect the macOS interface mockups.
20:38:24–20:38:31  I browse the Apple MacBook Air webpage.
20:38:31–20:38:34  I pinch my fingers.
20:38:34–20:38:54  I sit looking toward the laptop on the bed.
20:38:54–20:38:56  I look at my MacBook on the bed.
20:38:56–20:39:07  I fidget with my fingers.
20:39:07–20:39:09  I glance at the study desk.
20:39:09–20:39:13  I place my right hand on the trackpad.
20:39:13–20:39:18  I scroll the Apple webpage to '一起用，更合拍'.
20:39:18–20:39:23  I view the Mac and iPhone integration features.
20:39:24–20:39:30  I browse the macOS feature showcase.
20:39:31–20:39:35  I view the Continuity feature showcase.
20:39:36–20:39:37  I examine the Focus mode widget.
20:39:38–20:39:40  I read the '改善海滩的无障碍环境' accessibility card.
20:39:41–20:39:43  I scroll to the '有Mac 都好办。' apps section.
20:39:44–20:39:46  I look at the outdoor photo showcase.
20:39:47–20:39:53  I watch an online presentation video.
20:39:54–20:39:57  I view the MacBook Air camera showcase.
20:39:57–20:40:04  I scroll through the MacBook Air webpage.
20:40:05–20:40:11  I view the workspace gallery section.
20:40:12–20:40:17  I view the '指尖锁定' Magic Keyboard section.
20:40:18–20:40:21  I scroll past an outdoor lifestyle image.
20:40:22–20:40:24  I scroll to the hardware features overview.
20:40:24–20:40:28  I scroll through the Apple MacBook Air webpage to Apple at Work and Apple 与教育.
20:40:28–20:40:34  I scroll up through the Apple MacBook Air webpage.
20:40:34–20:40:38  I examine the MacBook Air battery and profile render.
20:40:38–20:40:41  I open the Apple Mac overview page.
20:40:41–20:40:54  I examine the Apple Mac category page and '全系产品细细看' header.
20:40:54–20:40:56  I view the Apple Mac catalog.
20:40:56–20:40:58  I navigate to the Apple Watch webpage.
20:40:58–20:41:24  I compare Apple Watch models and pricing.
20:41:24–20:41:31  I browse the Apple Watch comparison page.
20:41:32–20:41:36  I scroll through Apple Watch marketing sections.
20:41:37–20:41:40  I review Apple Watch feature overview cards.
20:41:41–20:41:44  I browse the Apple Watch bands section.
20:41:45–20:41:48  I say '难以置信，这玩意儿完全不需要。'
20:41:49–20:41:53  I stand up from the bed.
20:41:54–20:41:57  I look at the laptop.
20:41:58–20:42:02  I say '写的字，没人认得，没标志。'
20:42:03–20:42:08  I say '如果你能认得，不字，我是写的那方式。'
20:42:09–20:42:18  I watch the laptop screen.
20:42:19–20:42:23  I observe the door and laptop.
20:42:24–20:42:26  I sit beside my bed.
20:42:26–20:42:43  I massage my left foot.
20:42:44–20:42:47  I raise my right hand.
20:42:48–20:42:52  I rest my hands on my knees.
20:42:53–20:42:54  I reach toward the laptop.
20:42:54–20:43:05  I view Apple Watch accessories on the Apple website.
20:43:06–20:43:24  I stand up from the bed.
20:43:24–20:43:26  I look at the MacBook Pro.
20:43:26–20:43:29  I raise my right hand.
20:43:29–20:43:31  I say '读过。'
20:43:31–20:43:38  I gesture with my right hand.
20:43:38–20:43:53  I look at the Apple Watch webpage.
20:43:54–20:44:02  I say '如果你听你的CD，看我看的电影，如果你爱的是我的身，如果你为了变心看你的CD。'
20:44:02–20:44:12  I view the Apple Watch bands.
20:44:12–20:44:19  I place my right hand on the MacBook trackpad.
20:44:20–20:44:24  I scroll down the Apple webpage.
20:44:24–20:44:32  I browse Apple Watch workout sync features.
20:44:33–20:44:42  I browse Apple Watch band options.
20:44:43–20:44:47  I navigate to the Apple Watch overview.
20:44:48–20:44:51  I view the Apple Watch comparison lineup.
20:44:52–20:44:53  I view the Apple Watch Series 11 product page.
20:44:54–20:45:00  I browse the Apple Watch Series 11 product page.
20:45:01–20:45:07  I view the Apple Watch sleep tracking feature section.
20:45:08–20:45:16  I scroll through the battery charging section.
20:45:17–20:45:20  I examine the Apple Watch hardware design render.
20:45:21–20:45:23  I read the 5G connectivity section.
20:45:24–20:45:25  I view the Apple Watch Series 11 webpage.
20:45:26–20:45:28  I read the '用心洞悉你身心' section.
20:45:29–20:45:39  I view the sleep score and Vitals app feature cards.
20:45:40–20:45:50  I examine the heart rate notification feature cards.
20:45:51–20:45:53  I read the Cycle Tracking feature card.
20:45:54–20:46:03  I read the Apple Watch Series 11 health features webpage.
20:46:03–20:46:07  I scroll through the Apple Watch fitness intro section.
20:46:07–20:46:11  I read the '力挺每一位跑者' section.
20:46:11–20:46:17  I view workout metrics and custom training features.
20:46:17–20:46:24  I browse the Apple Watch 5G and Apple Pay features.
20:46:24–20:46:26  I browse the Apple Watch Series 11 webpage.
20:46:26–20:46:32  I look toward the study desk.
20:46:32–20:46:40  I examine items on the desk.
20:46:40–20:46:48  I touch the spray bottle.
20:46:48–20:46:53  I look at the Apple Watch Series 11 webpage.
20:46:54–20:47:06  I read the Apple Watch Series 11 feature cards.
20:47:06–20:47:11  I read the 5G network coverage feature card.
20:47:11–20:47:17  I read the Smart Stack feature card.
20:47:17–20:47:24  I scroll to the Apple Watch safety and Fall Detection section.
20:47:24–20:47:26  I view the Apple Watch fall detection page.
20:47:26–20:47:54  I scroll down the webpage.
20:47:54–20:48:13  I wait for the Apple Watch webpage to load.
20:48:13–20:48:17  I browse the Apple Watch promotional section.
20:48:17–20:48:24  I scroll to the Apple Watch Series 11 environmental section.
20:48:24–20:48:27  I monitor the Apple Watch Series 11 page loading.
20:48:28–20:48:32  I view the Apple Watch Series 11 promotional showcase.
20:48:33–20:48:34  I open the Apple Watch navigation dropdown menu.
20:48:35–20:48:49  I browse the Apple Watch lineup comparison page.
20:48:50–20:48:53  I browse the Apple Watch bands page.
20:48:54–20:49:00  I browse Apple Watch bands.
20:49:00–20:49:07  I browse Apple Watch Ultra bands.
20:49:07–20:49:13  I view Milanese Loop bands.
20:49:13–20:49:20  I view stainless steel Link Bracelets.
20:49:20–20:49:23  I scroll to the bottom band graphics.
20:49:24–20:49:33  I scroll through Apple Watch bands on the Apple Store.
20:49:34–20:49:40  I scroll past Nike Sport Bands.
20:49:41–20:49:48  I browse Nike Sport Loops.
20:49:49–20:49:53  I view Braided Solo Loop straps.
20:49:54–20:49:58  I browse yellow and woven Apple Watch bands.
20:49:58–20:50:03  I scroll down to view leather and buckle bands.
20:50:03–20:50:12  I browse dark textured woven watch straps.
20:50:12–20:50:18  I view yellow and blue sport watch bands.
20:50:18–20:50:23  I browse perforated Nike Sport Bands.
20:50:24–20:50:33  I browse the Apple Watch Hermès Grand H band page.
20:50:33–20:50:40  I scroll to blue and black woven Apple Watch band images.
20:50:40–20:50:48  I scroll to orange and patterned knit watch band options.
20:50:48–20:50:54  I inspect close-up photos of black woven and yellow-accented bands.
20:50:54–20:50:59  I browse the Apple Watch Ultra 3 webpage.
20:51:00–20:51:03  I view the '亮彩好春光' Apple Watch showcase.
20:51:04–20:51:09  I navigate to the Apple services webpage.
20:51:10–20:51:12  I read the '人气娱乐榜，敬请欣赏。' entertainment hub.
20:51:13–20:51:16  I inspect the Apple Music playlist cards.
20:51:17–20:51:18  I scroll past a page transition.
20:51:19–20:51:23  I watch the glowing Apple Music promo animation.
20:51:24–20:51:27  I view the Apple Music webpage.
20:51:28–20:51:29  I browse Apple Music 'New'.
20:51:30–20:51:32  I read ChatGPT on SVD.
20:51:33–20:51:36  I view an assignment PDF.
20:51:37–20:51:40  I reach toward the notebook.
20:51:41–20:51:47  I hum while looking at the screen.
20:51:48–20:51:50  I say '如果你喜欢你的方式。'
20:51:51–20:51:53  I touch the trackpad.
20:51:54–20:52:05  I view the lecture document.
20:52:05–20:52:07  I glance at the notebook.
20:52:07–20:52:11  I scroll through the PDF lecture slides.
20:52:11–20:52:17  I read the SVD decomposition in ChatGPT.
20:52:17–20:52:21  I say '让我牵你一只手。'
20:52:21–20:52:24  I review the SVD equation.
20:52:24–20:52:33  I examine the full SVD derivations on ChatGPT.
20:52:34–20:52:41  I scroll up to read reduced SVD formulas on ChatGPT.
20:52:42–20:52:47  I say '哦，shit。'.
20:52:48–20:52:52  I reach for the laptop trackpad.
20:52:53–20:52:54  I scroll down to the Compact SVD section on ChatGPT.
20:52:54–20:52:58  I read the Compact SVD explanation.
20:52:59–20:53:13  I look at the notepad.
20:53:14–20:53:21  I write matrix calculations.
20:53:22–20:53:24  I look at the laptop.
20:53:24–20:53:25  I turn toward the lined notepad.
20:53:26–20:53:31  I write on the lined notepad.
20:53:32–20:53:35  I touch the laptop trackpad.
20:53:36–20:53:37  I move my hand to the notepad.
20:53:38–20:53:48  I look toward the room door.
20:53:49–20:53:49  I position my hands over the notepad.
20:53:50–20:53:52  I look at the laptop screen.
20:53:53–20:53:53  I write on the notepad.
20:53:54–20:53:54  I write math equations on a notepad.
20:53:55–20:53:56  I look at the laptop screen.
20:53:57–20:53:57  I write calculations on the notepad.
20:53:58–20:54:03  I read the laptop screen.
20:54:04–20:54:07  I write values on the notepad.
20:54:08–20:54:12  I inspect the laptop screen.
20:54:13–20:54:13  I write a calculation on the notepad.
20:54:14–20:54:17  I verify text on the laptop screen.
20:54:18–20:54:18  I write on the notepad.
20:54:19–20:54:23  I read the assignment on the laptop.
20:54:24–20:54:26  I look at the laptop.
20:54:26–20:54:35  I write mathematical calculations in my notepad.
20:54:35–20:54:39  I place my hand on the laptop trackpad.
20:54:39–20:54:54  I look at the laptop screen.
20:54:54–20:55:00  I view the laptop on the bed.
20:55:00–20:55:06  I look toward the notepad.
20:55:06–20:55:10  I monitor the laptop.
20:55:10–20:55:24  I rest my hand on my knee.
20:55:24–20:55:26  I write on the notepad.
20:55:26–20:55:38  I look at the laptop.
20:55:38–20:55:42  I say '开发区中心比赛。'
20:55:42–20:55:45  I touch the laptop trackpad.
20:55:45–20:55:54  I monitor the laptop screen.
20:55:54–20:56:00  I look at the laptop.
20:56:01–20:56:05  I touch the laptop trackpad.
20:56:06–20:56:15  I withdraw my hand.
20:56:16–20:56:23  I look toward the notepad.
20:56:24–20:56:27  I view the laptop screen.
20:56:27–20:56:31  I pick up the pen.
20:56:31–20:56:43  I look at the laptop.
20:56:43–20:56:54  I write math calculations.
20:56:54–20:56:55  I look toward my laptop.
20:56:56–20:57:15  I write math formulas on the notepad.
20:57:16–20:57:20  I look at the laptop screen.
20:57:21–20:57:23  I look back at the notepad.
20:57:24–20:57:26  I say '嗯。'
20:57:26–20:57:39  I write formulas on the notepad.
20:57:40–20:57:46  I browse the mathematics exam PDF.
20:57:47–20:57:53  I read the Compact SVD explanation on ChatGPT.
20:57:54–20:58:01  I watch ChatGPT analyze the image.
20:58:01–20:58:09  I watch ChatGPT stream its reasoning thoughts.
20:58:09–20:58:14  I read the ChatGPT derivation on kernel PCA.
20:58:14–20:58:19  I point toward the corner of the laptop.
20:58:19–20:58:22  I review the kernel matrix calculation.
20:58:22–20:58:24  I place my hand on the keyboard.
20:58:24–20:58:30  I read the ChatGPT derivation of Kernel PCA Gram matrix.
20:58:31–20:58:35  I scroll down to view the kernel matrix eigenvalue calculation.
20:58:36–20:58:42  I read the Kernel PCA principal component representation formula.
20:58:43–20:58:48  I scroll down to inspect the first principal component vector.
20:58:49–20:58:53  I read the unit norm verification and section 4 on maximum eigenvalue.
20:58:54–20:58:58  I read the ChatGPT explanation about Kernel PCA covariance operator eigenvalues.
20:58:58–20:59:03  I scroll down the ChatGPT response.
20:59:03–20:59:08  I read the ChatGPT derivation for v = e1 ⊗ e1.
20:59:08–20:59:10  I scroll up the ChatGPT response.
20:59:10–20:59:14  I raise my arm.
20:59:14–20:59:24  I read the ChatGPT Kernel PCA eigenvector and normalization formula.
20:59:24–20:59:54  I read the Kernel PCA explanation on ChatGPT.
20:59:54–21:00:03  I read the ChatGPT Kernel PCA principal component explanation.
21:00:03–21:00:12  I read the ChatGPT unit vector verification.
21:00:12–21:00:20  I review the Kernel PCA norm calculation and section 4.
21:00:20–21:00:24  I touch a study sheet.
21:00:24–21:00:28  I arrange handwritten notes on the notepad.
21:00:29–21:00:34  I write notes on the notepad.
21:00:35–21:00:40  I read Kernel PCA formulas on ChatGPT.
21:00:41–21:00:42  I review SVD calculation notes on Claude.
21:00:43–21:00:49  I type '介绍 kernel pca 计算过程' in Claude.
21:00:50–21:00:54  I send the prompt to Claude.
21:00:54–21:00:56  I view the Claude new chat screen.
21:00:56–21:01:01  I open the chat slash command menu.
21:01:01–21:01:05  I browse the Claude skills submenu.
21:01:06–21:01:07  I dismiss the skills menu.
21:01:07–21:01:11  I open the linear algebra SVD quiz chat.
21:01:11–21:01:24  I switch to the Claude Cowork workspace view.
21:01:24–21:01:25  I view the Claude Cowork home screen.
21:01:26–21:01:31  I navigate to Live artifacts in Claude Cowork.
21:01:32–21:01:38  I open Dispatch settings in Claude Cowork.
21:01:39–21:01:42  I open Customize settings in Claude Cowork.
21:01:43–21:01:43  I return to the Claude Cowork home screen.
21:01:44–21:01:46  I browse chat history in Claude.
21:01:47–21:01:53  I read the Kernel PCA calculation chat in Claude.
21:01:54–21:02:03  I read the Kernel PCA calculation steps on Claude.
21:02:04–21:02:16  I read the Kernel PCA eigenvalue problem section on Claude.
21:02:17–21:02:18  I reach for a pen on the desk.
21:02:19–21:02:24  I review handwritten matrix calculations on the notebook.
21:02:24–21:02:28  I write notes on the notepad.
21:02:29–21:02:30  I look at the laptop screen.
21:02:31–21:02:34  I write notes on the notepad.
21:02:35–21:02:36  I look at the laptop screen.
21:02:37–21:02:38  I write notes on the notepad.
21:02:39–21:02:40  I look at the laptop screen.
21:02:41–21:02:41  I write notes on the notepad.
21:02:42–21:02:43  I look at the laptop screen.
21:02:44–21:02:45  I write notes on the notepad.
21:02:46–21:02:47  I look at the laptop screen.
21:02:48–21:02:49  I write notes on the notepad.
21:02:50–21:02:51  I look at the laptop screen.
21:02:52–21:02:53  I write notes on the notepad.
21:02:54–21:02:59  I look at my laptop.
21:03:00–21:03:11  I write machine learning notes.
21:03:12–21:03:16  I look at my laptop.
21:03:17–21:03:18  I reach toward the trackpad.
21:03:19–21:03:24  I read code on my laptop.
21:03:24–21:03:29  I look at the code editor on my laptop.
21:03:29–21:03:32  I check handwritten notes on a notepad.
21:03:32–21:03:35  I glance at the laptop screen.
21:03:35–21:03:38  I verify calculations on the notepad.
21:03:38–21:03:45  I scroll on the laptop trackpad.
21:03:45–21:03:54  I read the code document on the laptop.
21:03:54–21:04:03  I read Kernel PCA derivations.
21:04:04–21:04:23  I study Kernel PCA formulas.
21:04:24–21:04:44  I read Claude mathematical derivations.
21:04:44–21:04:46  I raise my right hand.
21:04:47–21:04:48  I review handwritten notes.
21:04:48–21:04:53  I read the Claude derivation.
21:04:54–21:04:55  I look at my notepad.
21:04:55–21:05:00  I write study notes.
21:05:00–21:05:19  I look at the laptop screen.
21:05:19–21:05:24  I read the Claude explanation on Kernel PCA.
21:05:24–21:05:25  I review the Kernel PCA explanation.
21:05:25–21:05:33  I type '详细举例介绍4,5步流程'.
21:05:33–21:05:40  I monitor Claude generating the numerical example.
21:05:40–21:05:49  I read the eigenvalue formulation.
21:05:49–21:05:51  I stand up from the bed.
21:05:51–21:05:54  I examine handwritten exam notes.
21:05:54–21:05:58  I read handwritten math notes.
21:05:59–21:06:05  I look toward the bed.
21:06:06–21:06:19  I view the laptop on the bed.
21:06:20–21:06:23  I observe the laptop and desk.
21:06:24–21:06:35  I read the Kernel PCA eigenvalue formulation in Claude.
21:06:36–21:06:40  I scroll down to reveal the eigenvalue table in Claude.
21:06:41–21:06:50  I read the eigenvector normalization steps in Claude.
21:06:51–21:06:53  I read the second principal component normalization in Claude.
21:06:54–21:06:57  I read the Kernel PCA normalization calculations on Claude AI.
21:06:58–21:07:04  I scroll up the Claude chat page.
21:07:05–21:07:11  I scroll down to the variance explained ratio section.
21:07:12–21:07:14  I inspect the scaled eigenvector formulas.
21:07:15–21:07:17  I scroll up to section 4.2.
21:07:18–21:07:23  I read the eigenvalue and eigenvector summary table.
21:07:24–21:07:51  I read the Kernel PCA eigenvalue decomposition and normalization steps.
21:07:51–21:07:53  I read the first principal component normalization calculation.
21:07:54–21:08:11  I read the Claude explanation of Kernel PCA eigenvector normalization.
21:08:11–21:08:18  I scroll down to read the second principal component normalization.
21:08:18–21:08:24  I scroll down to read about variance explained ratio and new sample projection.
21:08:24–21:08:28  I read the Claude AI explanation about Kernel PCA.
21:08:28–21:08:30  I edit my previous message in Claude.
21:08:30–21:08:50  I type '，不用具体数字举例，而是直接告诉我哪一步做什么就行'.
21:08:50–21:08:54  I submit the revised prompt to Claude.
21:08:54–21:09:00  I read the Claude AI Kernel PCA Step 4 explanation.
21:09:01–21:09:16  I read the Claude AI Kernel PCA Step 5 explanation.
21:09:17–21:09:24  I review the completed Kernel PCA explanation.
21:09:24–21:09:26  I read the Kernel PCA explanations on Claude.
21:09:27–21:09:30  I pick up handwritten cheat sheets from the desk.
21:09:31–21:09:35  I read the handwritten math notes.
21:09:36–21:09:43  I look at the laptop screen.
21:09:44–21:09:49  I compare handwritten notes with the screen.
21:09:50–21:09:53  I scroll up the Claude chat window.
21:09:54–21:10:09  I read Claude AI notes on Kernel PCA.
21:10:09–21:10:14  I scroll down the Claude AI conversation to view step 4 and step 5 details.
21:10:14–21:10:20  I stand up from the bed.
21:10:20–21:10:24  I position a pen over the notebook on my desk.
21:10:24–21:10:35  I write notes on Kernel Ridge Regression and Kernel PCA in my notebook.
21:10:35–21:10:45  I write the Kernel PCA eigenvalue equation and centering formula in my notebook.
21:10:45–21:10:47  I place the pen down on the bed.
21:10:47–21:10:53  I read technical documentation on the MacBook screen.
21:10:54–21:11:04  I write notes on the notebook.
21:11:05–21:11:08  I look at the MacBook screen.
21:11:09–21:11:17  I read the Kernel PCA calculation steps on Claude.
21:11:18–21:11:18  I glance at the notebook.
21:11:19–21:11:23  I type on the MacBook keyboard.
21:11:24–21:11:48  I type '第四步是直接对k分解还是ka=nlamdaa,我要简单直观的不要绕的' into Claude.
21:11:48–21:11:50  I send '第四步是直接对k分解还是ka=nlamdaa,我要简单直观的不要绕的' to Claude.
21:11:50–21:11:54  I monitor Claude's response generation.
21:11:54–21:12:08  I read the Claude explanation about Kernel PCA eigenvalue decomposition.
21:12:08–21:12:14  I read the Claude explanation about Kernel PCA Step 4 and Step 5 projection.
21:12:14–21:12:16  I reach for the pen on the desk.
21:12:16–21:12:24  I write notes on the notepad.
21:12:24–21:12:54  I look at my laptop screen.
21:12:54–21:13:00  I review Kernel PCA notes.
21:13:00–21:13:10  I write Kernel PCA notes.
21:13:10–21:13:14  I check Kernel PCA reference material.
21:13:14–21:13:21  I write Kernel PCA formulas.
21:13:21–21:13:24  I glance at my laptop screen.
21:13:24–21:13:31  I write math notes on a notepad.
21:13:31–21:13:33  I turn toward my laptop.
21:13:33–21:13:41  I read Claude's explanation on Kernel PCA.
21:13:41–21:13:43  I turn back to my notepad.
21:13:43–21:13:54  I write derivations on the notepad.
21:13:54–21:14:03  I write mathematical derivations on a notepad.
21:14:04–21:14:05  I turn toward the MacBook.
21:14:06–21:14:13  I read Claude's Kernel PCA centering explanation.
21:14:14–21:14:24  I read the Kernel PCA derivation on the laptop.
21:14:24–21:14:31  I look towards my laptop.
