22:46:25–22:46:30  I say '我要打视频会议骚扰。'
23:20:14–23:20:23  I browse the Bilibili recommendation feed.
23:20:24–23:20:25  I tap to open a video.
23:20:25–23:20:28  I say "没有。家里酒绝对有问题。" to my companion.
23:20:29–23:20:36  I watch the Bilibili drama video in portrait mode.
23:20:37–23:20:42  I watch the museum drama video on Bilibili.
23:20:43–23:20:46  I tap the fullscreen icon on the video player.
23:20:47–23:20:50  I watch the fullscreen drama video.
23:20:51–23:20:54  I watch the museum drama video in landscape mode.
23:20:55–23:20:58  I watch a video showing shattered mask fragments.
23:20:59–23:21:01  I watch the video scene in the antique room.
23:21:02–23:21:06  I watch the video character depart through the doors.
23:21:07–23:21:14  I read Rule 1 of the museum night shift manual.
23:21:15–23:21:16  I read Rule 2 about the Tang Sancai guardian beast.
23:21:17–23:21:18  I view the video player UI controls.
23:21:19–23:21:20  I continue reading Rule 2 on the screen.
23:21:21–23:21:24  I watch the video reveal the Tang Sancai guardian beast.
23:21:25–23:21:26  I watch a rules creepypasta video.
23:21:27–23:21:28  I open the video playback overlay.
23:21:29–23:21:32  I read the Rule 3 warning subtitle.
23:21:33–23:21:35  I watch the dark corridor scene at fast speed.
23:21:36–23:21:41  I watch Rule 4 about the headless bronze figurine.
23:21:42–23:21:44  I watch the chamber surveillance footage.
23:21:45–23:21:47  I watch the lantern-lit shop scene.
23:21:48–23:21:54  I watch the night street sequence.
23:21:55–23:22:04  I watch a video with subtitles about an undertaker.
23:22:05–23:22:09  I watch the video showing broken museum exhibits.
23:22:10–23:22:14  I listen to my companion while watching the video.
23:22:15–23:22:20  I watch the video showing a surveillance camera.
23:22:21–23:22:24  I watch the video of a character examining shattered relics.
23:22:25–23:22:30  I say "现在他这个是，就是，然后那个小款是那个C A。"
23:22:30–23:22:34  I watch the craftsman hammering the bronze artifact.
23:22:35–23:22:39  I watch the giant eight-armed titan emerge in the harbor.
23:22:40–23:22:44  I watch the tsunami engulf the coastal road.
23:22:45–23:22:47  I watch the demon face roar.
23:22:47–23:22:50  I watch the shockwave hit the city skyline.
23:22:51–23:22:54  I watch the flying warriors confront the titan.
23:22:55–23:23:02  I watch a fantasy CGI video on my smartphone.
23:23:03–23:23:12  I watch the video showing a multi-armed deity.
23:23:13–23:23:14  I watch the video switch to a workshop scene.
23:23:15–23:23:22  I watch the golden spear impale the monster in the video.
23:23:23–23:23:25  I look up at the subway carriage doors and route map.
23:23:25–23:23:29  I watch a video of a chained entity being inspected.
23:23:30–23:23:37  I watch a video of a chained beast struck by a magical weapon.
23:23:38–23:23:44  I watch a video of a multi-armed deity and a rooftop city view.
23:23:45–23:23:48  I watch a video of a character inspecting an asura statue.
23:23:49–23:23:53  I read the video text '第五条：不要修复八臂修罗！'.
23:23:54–23:23:55  I watch a video showing a ruined city street marked '市中心'.
23:23:55–23:24:03  I watch a video depicting a crater.
23:24:04–23:24:09  I watch video narration about spirit power.
23:24:10–23:24:15  I watch power transfer explanation.
23:24:16–23:24:24  I watch characters examining a photo.
23:24:25–23:24:32  I watch a drama video about an eight-armed statue.
23:24:33–23:24:38  I watch the drama video about a mortician on night shift.
23:24:39–23:24:46  I watch the drama video showing the rulebook entry '第五条：不要修复八臂修罗！'.
23:24:47–23:24:49  I say '哎，这个。'
23:24:50–23:24:54  I watch the drama video as a visitor enters the hall.
23:24:55–23:24:56  I watch a drama video.
23:24:57–23:24:58  I look at the overhead display.
23:24:59–23:25:00  I watch the drama video.
23:25:01–23:25:04  I look at companion's phone.
23:25:05–23:25:08  I look at an insect bite photo.
23:25:09–23:25:10  I read the Xiaohongshu comments.
23:25:11–23:25:13  Companion says '我勒个豆！我勒个豆！'.
23:25:14–23:25:17  I watch the rulebook scene.
23:25:18–23:25:24  Companion says '你爱看什么短剧？这个老好看了，我操！我也不知道是啥，就是这个私人。'.
23:25:25–23:25:36  I watch a video clip.
23:25:36–23:25:48  I say '古墓闹鬼博物馆看护，怎么这么像最近新出的那个电视剧《南部档案》？南派三叔三叔写的。'.
23:25:48–23:25:54  I watch the video.
23:25:55–23:26:05  I watch a video of a multi-armed statue.
23:26:06–23:26:11  I watch the video explaining the character's artifact restoration ability.
23:26:12–23:26:18  I watch the video montage of artifact and mortuary restoration.
23:26:19–23:26:25  I watch the dialogue scene warning about responsibility for the repaired statue.
23:26:25–23:26:31  I watch the drama argument about antique repair and wages.
23:26:32–23:26:36  I watch the drama showing danmu and the man asking '我倒想问问你'.
23:26:37–23:26:41  I watch the drama dialogue about benefits received for repairing the antique.
23:26:42–23:26:45  I read danmu comments about the woman deceiving the protagonist.
23:26:46–23:26:51  I watch the drama offer of an additional 100,000 fee per restored antique.
23:26:52–23:26:54  I watch the drama showroom pan and the man say '苏大秘书'.
23:26:55–23:26:59  I watch a drama video on my smartphone.
23:26:59–23:27:01  I say '还好'.
23:27:01–23:27:03  My companion says '还好吗？很普通吧'.
23:27:03–23:27:07  I say '没钱，谢谢谢谢，我一个月都没有四千'.
23:27:07–23:27:08  My companion says '有'.
23:27:08–23:27:11  I say '一个月只有三千'.
23:27:11–23:27:14  My companion says '有，不是五千吗？'.
23:27:14–23:27:17  I say '哦，那是我爸给的'.
23:27:17–23:27:20  My companion says '你自己还有三千？'.
23:27:20–23:27:25  I say '不是，那个上海那个，在那边。'.
23:27:25–23:27:28  My companion says "租房子的钱。他一个月给你三千吗？".
23:27:28–23:27:30  I say "对啊。".
23:27:31–23:27:33  My companion says "Fine. It's okay.".
23:27:34–23:27:42  I watch the antique restoration video montage.
23:27:43–23:27:47  I watch the antique clock pendulum and workshop scene.
23:27:48–23:27:50  I read the subtitles "又是一天夜班开始了" and "我还能再修一件文物".
23:27:50–23:27:54  I say "我操！怎么还刷到常德？".
23:27:55–23:28:05  I watch a drama video.
23:28:06–23:28:13  I watch the drama video.
23:28:14–23:28:20  I watch the drama video.
23:28:21–23:28:23  I say '我们去涠洲岛怎么样？'.
23:28:24–23:28:24  I inspect the homestay room prices.
23:28:25–23:28:26  I say 'OK。Sounds like good。'.
23:28:26–23:28:28  I ask '你去过涠洲岛吗？'.
23:28:28–23:28:29  My companion replies '没去过。我妈他们去。'.
23:28:29–23:28:33  I watch an antique restoration video.
23:28:33–23:28:38  I watch the restorer prepare repair materials.
23:28:38–23:28:43  I watch the restorer fill cracks on the relic.
23:28:43–23:28:47  I watch the craftsman walk through the workshop.
23:28:48–23:28:49  I say '这不会洒吧？'.
23:28:49–23:28:50  I say '我操！洒了我就急了。'.
23:28:50–23:28:51  My companion says '洒了又不要你洗。'.
23:28:51–23:28:55  I watch the display of an antique sword in the video.
23:28:55–23:28:59  I watch a drama video clip about a bronze museum exhibition.
23:29:00–23:29:03  I watch the craftsman enter his workshop in the video.
23:29:04–23:29:07  I read Rule 6 on relic restoration in the video.
23:29:08–23:29:14  I watch the craftsman inspect an ancient metallic hand artifact.
23:29:15–23:29:18  I watch the craftsman clean a bronze mirror with subtitles '修完这一件' and '又是10万'.
23:29:19–23:29:25  I watch the craftsman examine the artifact with subtitle '十万块'.
23:29:25–23:29:29  I watch a video on my phone.
23:29:29–23:29:34  I watch the video.
23:29:34–23:29:40  I watch the video.
23:29:40–23:29:44  The companion says '哎哎哎哎，把它放地上吧。'.
23:29:44–23:29:46  I say 'OK.'.
23:29:46–23:29:49  I tap the phone screen to display playback controls.
23:29:49–23:29:54  I watch the video.
23:29:55–23:30:06  I watch a drama video.
23:30:07–23:30:10  I read '第六条：在你修复一件文物之前，请务必先看一看它旁边其他文物的反应……'.
23:30:11–23:30:17  I watch the drama video.
23:30:17–23:30:19  I check the MTR route indicator.
23:30:19–23:30:21  I say '怎么感觉回来变快了？' to my companion.
23:30:21–23:30:25  I watch the video.
23:30:25–23:30:27  I watch a drama episode.
23:30:27–23:30:35  I watch the fireworks end screen.
23:30:35–23:30:38  I watch surveillance footage in the drama.
23:30:39–23:30:45  I watch the surveillance mystery scene.
23:30:46–23:30:54  I watch the guard diary scene.
23:30:55–23:31:01  I watch a museum suspense video.
23:31:01–23:31:07  I watch the video about repairing relics.
23:31:07–23:31:13  I watch the bronze mirror restoration scene.
23:31:13–23:31:16  I watch the flying bronze sword scene.
23:31:16–23:31:21  Companion says '云南花雨，因，因为，因云南花雨到我，都几乎有。'
23:31:21–23:31:25  I watch the protagonist transforming into porcelain.
23:31:25–23:31:31  I watch a mystery narration video.
23:31:31–23:31:36  I watch the mirror repair scene.
23:31:36–23:31:44  I watch the old book opening in the video.
23:31:44–23:31:48  I watch the cracked bronze mirror scene.
23:31:48–23:31:55  I watch the suspenseful smile and artifact rule.
23:31:55–23:31:58  I watch an antique drama video.
23:31:59–23:32:00  I glance at the beverage cup lid and resume watching the video.
23:32:01–23:32:07  I watch the drama video showing chime bells and tool pouch.
23:32:08–23:32:13  I watch the drama video showing mirror restoration and subtitle '我居然会信那破守则上的鬼话'.
23:32:14–23:32:20  I watch the drama video depicting a stone monster claw.
23:32:21–23:32:24  I watch the drama video fight scene.
23:32:25–23:32:34  I watch a video.
23:32:35–23:32:37  I stand up.
23:32:38–23:32:41  I step onto the platform.
23:32:42–23:32:46  I walk along the platform.
23:32:47–23:32:50  I say 'So we're at the which end?'
23:32:51–23:32:55  I walk along the platform.
23:32:55–23:32:56  I look at the window partition.
23:32:56–23:32:57  I say 'Where are we?'
23:32:57–23:32:59  My companion says 'Where are we? We're in Taiwei.'
23:32:59–23:33:01  I say 'Yeah, I know. I mean, where's your home?'
23:33:01–23:33:02  My companion asks 'Where?'
23:33:02–23:33:03  I check my smartphone.
23:33:03–23:33:06  I look towards the train.
23:33:06–23:33:09  I observe passengers on the train.
23:33:09–23:33:12  I walk along the platform.
23:33:12–23:33:14  My companion says 'There. There.'
23:33:14–23:33:17  I say 'Oh, I see. Oh, that's good. That's unexpected.'
23:33:17–23:33:21  I say 'Good. Since we're at the tail of this.'
23:33:21–23:33:25  I observe the platform concourse.
23:33:25–23:33:27  I say '嗯哼。'
23:33:27–23:33:29  I walk toward the staircase.
23:33:29–23:33:35  I watch a video of a robotic arm while descending stairs.
23:33:35–23:33:39  I watch a character holding a weapon on my phone.
23:33:39–23:33:43  I watch a dialogue scene with subtitles on my phone.
23:33:43–23:33:48  I watch an armored gauntlet in the video.
23:33:48–23:33:54  I watch green energy effects in the video.
23:33:55–23:34:00  I walk down stairs while watching a video.
23:34:00–23:34:06  I watch the character evade a green attack.
23:34:06–23:34:14  I reach the bottom landing while watching combat shots.
23:34:14–23:34:19  I walk along the concourse while watching '三十六计走为上'.
23:34:19–23:34:23  I watch the character run through a hallway.
23:34:23–23:34:24  I look up at the escalator.
23:34:25–23:34:29  I walk along the underground corridor toward the stairs.
23:34:30–23:34:34  I watch a video on my smartphone.
23:34:35–23:34:39  I examine the video episode list on my smartphone.
23:34:40–23:34:44  I look at the Baleno store window display.
23:34:45–23:34:47  I glance at the red 'SALE' sign in the shop window.
23:34:48–23:34:51  I observe the closed shop shutters and Alipay pillar poster.
23:34:52–23:34:55  I walk forward through the station concourse.
23:34:55–23:34:58  I walk past closed retail shops.
23:34:59–23:35:03  I read the overhead directional signs.
23:35:04–23:35:09  I check the Platform 3 escalator sign.
23:35:10–23:35:14  I ask 'Is it this way? This way?'.
23:35:15–23:35:21  I watch my companion approach.
23:35:22–23:35:23  The companion says 'Okay.'.
23:35:24–23:35:24  I look at the smartphone video.
23:35:25–23:35:28  I watch a video while walking.
23:35:28–23:35:35  I watch the video showing porcelain vases.
23:35:35–23:35:38  I approach the exit turnstiles.
23:35:38–23:35:42  I pass through the exit turnstile.
23:35:42–23:35:44  I check my Octopus card balance.
23:35:44–23:35:47  I rotate my phone to landscape.
23:35:47–23:35:54  I watch a dramatic video while walking toward Exit C.
23:35:55–23:36:05  I walk through the MTR corridor while watching a video on my phone.
23:36:06–23:36:07  I look at the outdoor walkway ground and overhead lighting.
23:36:08–23:36:13  I walk along the covered walkway while watching the tomb exploration video.
23:36:14–23:36:20  I watch the video showing bronze artisan statues while walking.
23:36:21–23:36:24  I walk past Best Mart 360 while watching the video.
23:36:25–23:36:31  I walk while watching a video.
23:36:31–23:36:36  I watch the drama video.
23:36:36–23:36:42  I read the rulebook page.
23:36:42–23:36:47  I walk toward the intersection.
23:36:47–23:36:51  I look up at the pedestrian crossing.
23:36:51–23:36:54  I watch the video subtitles.
23:36:55–23:36:57  I watch a video.
23:36:58–23:36:58  I look up at the underpass road.
23:36:59–23:37:04  I walk across the zebra crossing.
23:37:05–23:37:10  I walk along the paved sidewalk.
23:37:11–23:37:17  I walk along the pedestrian path.
23:37:18–23:37:24  I watch the drama video.
23:37:55–23:38:00  I say '我一下就被吸引住了，没想到C的单词这么厉害。'
23:38:01–23:38:05  I ride the escalator.
23:38:06–23:38:07  My companion says '哎呀！别做了，别做了！'
23:38:08–23:38:14  My companion says '哎呦我去，这样看多好看，为什么刚拍出来那么奇怪？'
23:38:15–23:38:18  My companion asks '有没有可能我就长那样？'
23:38:19–23:38:24  I say '你好看啊，你长得是好看的呀。'
23:38:25–23:38:36  I ride an escalator behind my companion.
23:38:36–23:38:42  I walk across level L2 toward the next escalator.
23:38:42–23:38:50  I step onto the descending escalator.
23:38:50–23:38:55  I watch a video on my phone.
23:38:55–23:38:57  I watch a drama video on my phone.
23:38:57–23:38:58  My companion says '好热嘛，小哥。'
23:38:58–23:39:14  I watch the drama video on my phone.
23:39:15–23:39:18  I step off the escalator.
23:39:18–23:39:24  I walk along the corridor while watching my phone.
23:39:25–23:39:34  I watch a video on my phone while walking.
23:39:35–23:39:39  My companion shows me two rings and says '这个大小对比怎么这么明显啊！我勒个逗啊！你看俩戒指，你看他俩戒指，这个大小为什么这么酷？'.
23:39:40–23:39:42  I say '哦，真是银的呀！'.
23:39:42–23:39:43  My companion says '对啊，不然呢？'.
23:39:44–23:39:45  I say '那银的很贵吗？'.
23:39:45–23:39:47  My companion says '还好啊，我感觉这个一般，做两对银还行行。'.
23:39:47–23:39:48  I say 'OK。'.
23:39:49–23:39:54  I walk toward the exit doors while watching my phone.
23:39:55–23:39:58  I walk onto the footbridge while watching a video.
23:39:58–23:40:01  I watch the character sit at a desk.
23:40:02–23:40:07  I read the '【無頭銅像】' rule entry.
23:40:08–23:40:13  I watch the video craftsman inspect his workshop.
23:40:14–23:40:18  I walk beside my companion while watching the video narration.
23:40:18–23:40:21  I say '嗯，你什么意思啊？什么意思啊？啊？' to my companion.
23:40:22–23:40:25  I watch the 3D bronze warrior head assemble on screen.
23:40:25–23:40:28  My companion asks '你什么意思？我们可以用 AI 做短剧吗？'.
23:40:29–23:40:31  I say '可以啊。'.
23:40:31–23:40:33  My companion asks '用什么 AI 做？'.
23:40:34–23:40:37  I say 'See Dance 字节跳动的那个视频 AI，就一般就是一个生成十几秒片段，然后你把一个，'.
23:40:38–23:40:43  I say '你先让 AI 生成一个人物角色，然后再用 AI 用人物角色生成一个故事，'.
23:40:44–23:40:50  I say '然后再用 AI 从这个故事。'.
23:40:51–23:40:54  I look toward the building entrance.
23:40:55–23:40:58  I say '生成一些人物的图，然后再用AI把这些图生成视频。'.
23:40:58–23:41:01  I watch my companion scan her phone.
23:41:01–23:41:14  I say '我之前看，对我之前看过有这种，就是专门造这种AI的工作室的，一部剧可能就成本就几千块钱，非常便宜，比那个演的那个之前很火那种人物短剧便宜的多得多，而且速度快的多得多。'.
23:41:14–23:41:17  I walk toward the escalators.
23:41:17–23:41:20  My companion says '几千万吧，都是。'.
23:41:20–23:41:22  I say '啊，之前不知道多少钱。'.
23:41:22–23:41:25  I watch the short drama on my phone.
23:41:25–23:41:48  I watch a fast-forwarded video on my smartphone.
23:41:49–23:41:52  I watch the video end card.
23:41:53–23:41:55  I tap the next episode button on the video player.
23:41:55–23:41:57  User Y says '那一起在这儿看呗。'.
23:41:57–23:42:01  User Y says '我不要，那这里看看不舒服，你手老是动。'.
23:42:01–23:42:07  I say '那边是我不敢退出去，等一下。我觉得这有诈，我不知道为什么。'.
23:42:07–23:42:09  User Y asks '啥意思？'.
23:42:09–23:42:15  I say '就是他故意在一个视频最后留一个一分钟的这个东西，让我自动手动跳转到下一集。'.
23:42:15–23:42:21  I say '但是之前所有的正常的，比如说。'.
23:42:21–23:42:25  I look at the walkway ahead near an A-frame sign.
23:42:25–23:42:32  I say '蜡笔小新都是自动跳转，说明这肯定会对他什么吸引流量之类的呀，或者什么有帮助，肯定有诈，我就不这么做。' to my companion.
23:42:33–23:42:39  I watch a gameplay video on my phone.
23:42:40–23:42:42  I read rule four '第四條：把你桌子上的假人模特頭扔給它，然後鎖死工作間的門。'.
23:42:43–23:42:45  My companion asks '为什么没有声音？'.
23:42:46–23:42:49  My companion asks '他是在完成什么副本任务吗？'.
23:42:50–23:42:54  I reply '对他修。' to my companion.
23:42:55–23:43:04  My companion says '修复人物就修一个文物就可以获得一百万块钱的现金，然后他可以拿到那个修复的人物的背后的力量，修复的文物的力量。'.
23:43:05–23:43:09  I watch a video.
23:43:10–23:43:10  I look ahead.
23:43:11–23:43:12  I ask '他是穿越了吗？'.
23:43:13–23:43:20  My companion replies '不是，他就是一个博物馆的保安，保安，他之前是一个入殓师。你看吧。'.
23:43:21–23:43:24  I watch the glowing armor in the video.
23:43:25–23:43:30  I watch a fantasy drama on my phone while walking.
23:43:30–23:43:38  I watch the restored warrior statue on my phone.
23:43:38–23:43:41  I watch the protagonist receive a 100万 notification.
23:43:41–23:43:44  I say '啥意思？'.
23:43:44–23:43:48  I say '我操，他也获得。'.
23:43:48–23:43:53  I watch the military control room scene on my phone.
23:43:53–23:43:55  I say '就是干吗？'.
23:43:55–23:44:00  I watch a video of a demonic mask while walking along a path.
23:44:00–23:44:06  I watch a monster blast green energy on my phone while walking.
23:44:06–23:44:13  I watch an armored warrior on my phone while walking.
23:44:13–23:44:18  I watch a command briefing on anomalous incidents on my phone while walking.
23:44:18–23:44:24  I watch a threat assessment report on my phone while walking.
23:44:25–23:44:31  I say '这感觉是 GPT 写的台词，不是隐蔽，而是不是而是。'
23:44:31–23:44:36  My companion says '不会是男主修复的那种。'
23:44:36–23:44:39  I say '对。'
23:44:39–23:44:41  I glance at the pathway.
23:44:42–23:44:47  I watch the animation of a bronze dragon mask.
23:44:48–23:44:51  I watch the bronze dragon mask firing an energy beam.
23:44:52–23:44:54  I watch the black-and-white surveillance footage until 'SIGNAL LOST' appears.
23:44:55–23:44:57  I say 'Exactly.'
23:44:57–23:45:00  I watch the drama video showing a sealed chest.
23:45:00–23:45:03  I watch the character open the box to reveal a bronze mask.
23:45:03–23:45:08  I watch the character lift the bronze helmet.
23:45:08–23:45:12  I read '锻造者' on the video screen.
23:45:12–23:45:17  I watch the characters examine the bronze helmet.
23:45:17–23:45:21  I read '那可是至少一名S级诡异' in the video subtitles.
23:45:21–23:45:25  I say '他妈，这个名字好，S级诡异。'
23:45:25–23:45:30  I watch the video on my phone.
23:45:30–23:45:36  I watch the character rummage behind the counter.
23:45:36–23:45:40  I watch the museum gate scene.
23:45:40–23:45:46  I watch the character unframe the photograph.
23:45:46–23:45:51  I read the vintage photo inscription.
23:45:51–23:45:55  I watch the museum hall scene.
23:45:55–23:46:02  I say '哦，那真的跟那个很像，跟《南部档案》很像，里面的那个女主是活了一百一百多年。'
23:46:02–23:46:07  I watch the drama video.
23:46:07–23:46:14  I monitor the drama dialogue on my phone.
23:46:14–23:46:25  I watch the drama discussion on my phone.
23:46:25–23:46:33  I watch a drama video while walking along the outdoor pathway.
23:46:33–23:46:38  I watch the drama video showing an antique box and photograph.
23:46:38–23:46:45  I watch the drama dialogue about the old photograph.
23:46:46–23:46:51  I watch the drama video explaining family resemblance.
23:46:52–23:46:55  I watch the woman in the drama promise a payment and leave.
23:46:55–23:47:04  I watch a short drama video.
23:47:05–23:47:08  I monitor the loading screen.
23:47:09–23:47:18  I watch the promotional end-card screen.
23:47:19–23:47:24  I say '哎，红果短剧，估计能在闲鱼上找到一个。'
23:47:25–23:47:29  I watch a short drama video.
23:47:29–23:47:34  I say '看看，日薪一万，我在博物馆值夜班。'
23:47:34–23:47:39  I watch the video playback.
23:47:39–23:47:45  I rotate the phone to portrait.
23:47:45–23:47:55  I read the comments.
23:47:55–23:47:58  I say '日薪一万，我在博物馆。这肯定有坑。'
23:47:58–23:48:06  I watch the short drama video on my smartphone.
23:48:06–23:48:10  I hold a paper bag while walking.
23:48:10–23:48:14  I watch the video on my phone.
23:48:14–23:48:17  I tap the video playback controls.
23:48:17–23:48:20  I watch the video.
23:48:20–23:48:24  I watch the drama video.
23:48:25–23:48:26  I walk along the outdoor corridor.
23:48:26–23:48:30  I say '看喽，看。咱从这个闲鱼上买。'
23:48:30–23:48:33  I open Spotlight search.
23:48:33–23:48:38  I tap the search bar in Xianyu.
23:48:38–23:48:45  I type into the search bar.
23:48:45–23:48:49  I search on Xianyu.
23:48:49–23:48:53  I say '日薪一万，我在博物馆做夜班保安。'
23:48:53–23:48:54  I say '红。'
23:48:55–23:48:59  I search for '红果短剧' on Xianyu.
23:48:59–23:49:03  I say '红果短剧AI短视频。'
23:49:03–23:49:15  I browse Xianyu listings for Hongguo Short Drama tutorials.
23:49:15–23:49:17  I say '哦，可以下一个。'
23:49:17–23:49:19  I say '红果短剧。'
23:49:19–23:49:23  I type 'hongguoduanju' into Spotlight search.
23:49:23–23:49:25  I view Spotlight search results for 红果短剧.
23:49:25–23:49:26  I tap '搜索 App Store'.
23:49:27–23:49:28  I wait for App Store search results.
23:49:29–23:49:33  I examine DramaBox in App Store search results.
23:49:34–23:49:37  I scroll through App Store search results.
23:49:38–23:49:40  I tap DramaBox.
23:49:41–23:49:48  I browse the DramaBox product page.
23:49:49–23:49:52  I read the DramaBox user review and update log.
23:49:53–23:49:54  I inspect the DramaBox App Privacy and Information sections.
23:49:55–23:49:57  I say 'Shit, I can't download it because I'm American account.'
23:49:57–23:50:02  My companion says 'Yeah, it's very complicated. Sign out, sign in, download and sign out again.'
23:50:02–23:50:05  I say 'Okay, I'm going to watch it on your iPad.'
23:50:05–23:50:14  I walk along the covered walkway.
23:50:15–23:50:20  I look at a utility hatch on the ground.
23:50:21–23:50:24  I read the Festival City directional sign.
23:50:25–23:50:27  I say "I think. Damn it."
23:50:27–23:50:31  I say "And I can eat chicken nuggets with the interesting AI movies."
23:50:31–23:50:33  My companion says "You can eat chicken nuggets too."
23:50:33–23:50:35  I take the paper takeout bag.
23:50:35–23:50:38  I say "I want eat your chicken."
23:50:38–23:50:40  My companion says "No."
23:50:40–23:50:43  I say "No, bro. I don't want."
23:50:43–23:50:46  My companion says "Yes, I know you want."
23:50:46–23:50:51  I walk towards the glass entrance.
23:50:51–23:50:55  I push open the glass entrance door.
23:50:55–23:50:57  I walk down the lobby steps.
23:50:58–23:51:00  I walk toward the South Court elevator entrance.
23:51:01–23:51:03  I say '拉'.
23:51:04–23:51:07  I walk into the elevator foyer.
23:51:08–23:51:11  I walk toward elevator 2.
23:51:12–23:51:14  I step into elevator 2.
23:51:15–23:51:16  I press floor button '35' on the elevator panel.
23:51:17–23:51:21  I hold the McDonald's takeout bag.
23:51:22–23:51:25  I observe User A in the elevator mirror.
23:51:25–23:51:30  I say '你不爱我了，你还拿手打我脸，哼！'.
23:51:30–23:51:36  I say '这个女人，哼！这个女人，不爱我了。'.
23:51:36–23:51:40  I reach toward my companion.
23:51:40–23:51:46  I say '哎，这电梯也晃起来了，我操！'.
23:51:46–23:51:55  I monitor my companion bracing in the elevator.
23:51:55–23:51:57  I say '好好好。'
23:51:58–23:52:00  I wait as the elevator doors open.
23:52:01–23:52:06  I follow my companion down the hallway.
23:52:07–23:52:13  I ask '钥匙没回来吗？'
23:52:14–23:52:18  I watch my companion unlock the door.
23:52:19–23:52:24  I say '回来，闻到洗澡的香味。'
23:52:25–23:52:29  I enter the apartment.
23:52:30–23:52:33  I walk down the hallway.
23:52:34–23:52:37  I enter bedroom B.
23:52:38–23:52:41  I survey the bedroom.
23:52:42–23:52:44  I pick up a glass mug of water.
23:52:45–23:52:49  My housemate says '是什么纸？是你的吗？你就用。'.
23:52:50–23:52:54  I watch my housemate grab a bottle.
23:52:55–23:52:57  I say "啊。".
23:52:58–23:53:00  I walk to my desk.
23:53:01–23:53:07  I plug a power adapter into the power strip.
23:53:08–23:53:10  I inspect the power strip.
23:53:11–23:53:12  I route a cable behind the laptop.
23:53:13–23:53:15  I look at the desk.
23:53:16–23:53:17  I pick up my smartphone.
23:53:18–23:53:21  I approach the side table.
23:53:22–23:53:24  I prop up the iPad.
23:53:25–23:53:26  I hold the iPad.
23:53:27–23:53:30  I enter the iPad passcode.
23:53:31–23:53:33  I tap '好' on the Apple ID alert.
23:53:34–23:53:34  I return to the home screen.
23:53:35–23:53:40  I type 'hong guo duan' in Spotlight.
23:53:41–23:53:42  I tap '搜索 App Store'.
23:53:43–23:53:47  I tap '获取' for 红果短剧.
23:53:48–23:53:50  I view the App Store download pop-up.
23:53:51–23:53:54  I say '密码，密码。不是，是那个 App Store。'
23:53:55–23:53:58  I say "下载密码，账户要下载".
23:53:58–23:54:00  I look across the room toward the doorway.
23:54:00–23:54:04  I say "啊，指纹也可以。".
23:54:04–23:54:14  I examine the iPad App Store authorization screen.
23:54:14–23:54:18  I push the rolling table away.
23:54:18–23:54:25  I look at the floor.
23:54:25–23:54:28  I sit looking down.
23:54:29–23:54:32  I watch User A interact with the tablet.
23:54:33–23:54:39  I watch User A pick up the tablet.
23:54:40–23:54:42  I shift my gaze to the rolling cart table.
23:54:43–23:54:45  I place my hands on the table.
23:54:46–23:54:49  I reach into the rolling cart.
23:54:50–23:54:54  I examine the golden cosmetic tube.
23:54:55–23:54:59  I pick up a pin badge.
23:55:00–23:55:04  I say '嗯。' and prop up the iPad.
23:55:05–23:55:15  I browse App Store search results for '红果短剧'.
23:55:16–23:55:17  I open Spotlight Search.
23:55:18–23:55:20  I type 'bili' into Spotlight Search.
23:55:21–23:55:24  I dismiss a pop-up and browse Bilibili feed.
23:55:25–23:55:35  I type '日薪一万我在博物馆'.
23:55:36–23:55:42  I select '[未删减]《日薪一万，我在博物馆值夜班》全集免费'.
23:55:43–23:55:50  I watch the video intro.
23:55:51–23:55:53  I say '我操！有人免费放出来了。'
23:55:54–23:55:54  I point at the comment section.
23:55:55–23:55:58  I tap the iPad screen.
23:55:58–23:56:00  I browse the episode collection.
23:56:00–23:56:05  I select a video episode.
23:56:06–23:56:12  I browse the episode grid.
23:56:13–23:56:17  The person says '好热呀，我烧。'
23:56:17–23:56:24  I read the video comments.
23:56:25–23:56:27  I open Hongguo Short Drama.
23:56:28–23:56:32  I accept permissions and open Hongguo Short Drama.
23:56:33–23:56:37  I tap the 剧场 tab.
23:56:38–23:56:41  I tap the search bar.
23:56:42–23:56:46  I select '日薪一万，我在博物馆值夜班' from search suggestions.
23:56:47–23:56:51  I tap '日薪一万，我在博物馆值夜班'.
23:56:52–23:56:54  I watch episode 1 of '日薪一万，我在博物馆值夜班'.
23:56:55–23:56:56  I tap the favorite button.
23:56:57–23:57:01  I watch episode 13 of the short drama.
23:57:02–23:57:04  I select episode 70 in the episode list.
23:57:05–23:57:08  I tap the episode selection button while watching episode 70.
23:57:09–23:57:15  I confirm episode 70 from the episode grid.
23:57:16–23:57:22  I watch the episode 70 climax scene.
23:57:23–23:57:24  I watch the drama end and switch to '宫墙观雪录'.
23:57:25–23:57:28  I open the episode selector on the tablet.
23:57:28–23:57:34  I select episode 14 and reopen the episode list.
23:57:34–23:57:36  I select episode 15.
23:57:36–23:57:39  I fast-forward playback at 2.0x.
23:57:40–23:57:44  I switch video resolution to 1080P.
23:57:45–23:57:51  I open the episode selection from the bottom bar.
23:57:52–23:57:54  I select episode 16.
23:57:55–23:57:56  I select episode 17 of '日薪一万，我在博物馆值夜班'.
