19:00:37–19:00:40  Say '不会是录满了吧？'
19:42:54–19:42:56  I view the night skyline.
19:42:56–19:43:03  I walk past the decorated railing.
19:43:04–19:43:07  I walk toward the pillar.
19:43:07–19:43:10  I say "空气好好啊！哈哈。"
19:43:11–19:43:16  I walk along the footbridge.
19:43:17–19:43:21  I observe the city night view.
19:43:22–19:43:27  My companion says "这老人真在说啥蛇皮？没事儿，不就是这样吗？"
19:43:28–19:43:31  My companion says "你不就是这样吗？"
19:43:32–19:43:37  I say "我才没！别瞎说！"
19:43:37–19:43:40  I enter the building.
19:43:40–19:43:45  I say '你不要就是那个叫什么贬低我，你不要贬低我。'
19:43:46–19:43:51  I say '好帅呀！'
19:43:52–19:43:56  Someone says '好啊。'
19:43:57–19:44:03  I approach the escalator.
19:44:04–19:44:06  I step onto the escalator.
19:44:07–19:44:11  Ride an upward-moving escalator
19:44:11–19:44:13  Acknowledge my companion
19:44:13–19:44:17  Look at my companion's bare shoulder
19:44:17–19:44:21  Ask where she is referring to
19:44:21–19:44:26  Look at her shoulder as she asks to move the bag strap
19:44:26–19:44:30  Observe my companion as she explains further about the bag
19:44:30–19:44:33  Listen to my companion respond
19:44:33–19:44:36  Watch my companion holding her phone and water bottle
19:44:37–19:44:38  I ride an escalator downwards holding a packaged item (tofu).
19:44:38–19:44:40  I step off the escalator into the lobby.
19:44:40–19:44:43  I walk through the glass automatic doors towards the outdoor covered walkway.
19:44:43–19:44:45  I walk outside under the covered walkway.
19:44:45–19:44:50  I walk along the outdoor corridor past several pedestrians.
19:44:50–19:44:55  I walk down the covered path.
19:44:55–19:45:07  I walk along the pathway under the covered corridor at night.
19:45:07–19:45:11  I say '好舒服，好喜欢这个环境。'
19:45:12–19:45:16  I say '我操，也有一定道理啊！'
19:45:17–19:45:22  I walk along the walkway.
19:45:23–19:45:25  I look at the bamboo planter.
19:45:26–19:45:30  I walk past a traffic cone.
19:45:31–19:45:37  I say '走那边吧，那边能吹风，这里一点风都没有。'
19:45:37–19:45:41  My companion says '你看，哪个红？'.
19:45:41–19:45:46  My companion says '啊！怎么现在开始叫了？刚刚掐着手机叫。'.
19:45:46–19:45:51  My companion says '啊！换一只手拿手机。换一只手拿手机。'.
19:45:52–19:45:56  My companion says '不要掐我。'.
19:45:57–19:46:07  I say '我不掐你，你换一只手，我牵你手。'
19:46:07–19:46:11  My companion says '这是我们的宝宝，我们要一起握着它。好了。'
19:46:11–19:46:15  I walk along the garden pathway.
19:46:15–19:46:18  My companion says '信任呢，我们俩之间的信任呢，没有一点儿。'
19:46:18–19:46:22  I say '我我，我们之间的信任呢，就这么没了？'
19:46:22–19:46:25  My companion says '一点都没有，已经带上款了。'
19:46:25–19:46:28  I look up at the residential skyscraper.
19:46:28–19:46:31  I look down at the edge lighting strip.
19:46:31–19:46:36  I walk across the paved terrace.
19:46:37–19:46:42  Listen to my companion speak about smart glasses
19:46:42–19:46:48  Speak about first-person vlog videos on social media
19:46:48–19:46:53  Listen to my companion ask about the memory capacity of the glasses
19:46:53–19:46:56  Answer my companion's question about the glasses memory capacity
19:46:56–19:47:01  Listen to my companion ask about the recording duration
19:47:01–19:47:04  State the remaining available memory storage number
19:47:04–19:47:06  Listen to my companion respond
19:47:07–19:47:09  My companion asks '多少多少帧的？' and I reply '一帧。'
19:47:09–19:47:12  My companion says '你在瞎说呢。' and I reply '真是一帧。'
19:47:12–19:47:17  My companion asks '多少K？' and I reply '啊，一零八零P应该是二K的吧。'
19:47:17–19:47:23  I say '一零八零，它确实是这么高，没有一百多G。'
19:47:23–19:47:28  My companion asks '那你是录了之后就当天晚上把它导导出来？'
19:47:28–19:47:31  I say '对啊。'
19:47:31–19:47:37  My companion says '导在你的电脑上。'
19:47:37–19:47:40  Walk along the brick-paved outdoor walkway
19:47:41–19:47:48  Continue walking forward on the pathway
19:47:49–19:47:53  Walk along the pathway
19:47:54–19:48:01  Follow behind the person in the pink backpack along the paved walkway
19:48:02–19:48:06  Continue walking as another companion walks into view on the left
19:48:07–19:48:13  I say '我觉得本地人都来找我问路，应该是死马索，瓦达西，老成都，老成都口音。'
19:48:14–19:48:17  My companion says '你跟他说“八嘎哟，沸羊羊三。”'
19:48:18–19:48:22  My companion says '他说遇到三个本地人找他问路。'
19:48:23–19:48:26  I say '把他当日本人整是吧？'
19:48:27–19:48:33  My companion says '可能是因为他的穿着，以及就是他的气质和发型，就是三个。'
19:48:34–19:48:37  My companion says '他说日本人真的是。'
19:48:37–19:48:39  My companion says '哎，看他发的视频。'
19:48:39–19:48:41  I say '他还没发呢。'
19:48:41–19:48:43  My companion says '那你催一下。'
19:48:43–19:48:46  I say '那不是，你俩加微信得了，好不？'
19:48:46–19:48:49  My companion says '你现在催啥去？不礼貌。'
19:48:49–19:48:52  I say '这咋不礼貌？我才是礼貌呢。'
19:48:52–19:48:55  My companion says '你催是你不礼貌，我还礼貌。'
19:48:55–19:48:57  I say '那你还怪有礼貌的。'
19:48:57–19:49:01  My companion says '你别说，他还怪有礼貌的。礼貌只会转移。'
19:49:01–19:49:07  I say '哦。我竟然真的老老实实跟你握手机握了这么久。'
19:49:07–19:49:10  I say '我操！宝宝挺金贵的，这俩手握你宝宝。'
19:49:10–19:49:13  I say '估计他明天会开车。'
19:49:13–19:49:18  I say '他今天一去就吃了一吃了那个非常，嘴让我非常眼馋。'
19:49:18–19:49:24  I say '来个照片，视频，视频最好是视频。'
19:49:24–19:49:29  I say '照片他是。'
19:49:29–19:49:31  I say '哦。'
19:49:31–19:49:37  I view the WeChat chat on the phone.
19:49:37–19:49:39  I watch a video on my phone.
19:49:39–19:49:41  I say '他还去电影去电影院看电影了，就我给他发的。不是。对对对，你看这对比多么的强烈。没了，就是。'
19:49:42–19:49:44  Companion says '哦，这在家吃的。'
19:49:44–19:49:48  I say '没有啊，这是在外边儿，这一看就是在外边儿吧。'
19:49:49–19:49:52  Companion says '啊，在外边用这个小电磁炉啊。'
19:49:52–19:49:56  I say '对啊，这不在那在家谁搞这么那个啥呀？'
19:49:56–19:50:02  Companion says '哦，也是，谁没没有人的牌这么高级？' and I reply '对啊。'
19:50:03–19:50:06  I say '这感觉一般吧。'
19:50:07–19:50:09  I walk toward the building passageway.
19:50:09–19:50:12  My companion asks '真的不好吃吗？那那你在国内不随便吃？'
19:50:12–19:50:14  I view the wagyu beef photo.
19:50:14–19:50:16  I say '那它不一样，日本和牛。'
19:50:16–19:50:18  My companion says '妈的，国内也能买啊！'
19:50:18–19:50:22  My companion says '和牛不就是脂，就是就是脂肪多的？'
19:50:22–19:50:24  I enter the covered corridor.
19:50:24–19:50:26  I say '别这么说。'
19:50:26–19:50:31  I navigate on my phone.
19:50:31–19:50:34  I examine the VPN node list.
19:50:34–19:50:37  I read the Claude Pro inquiry message.
19:50:37–19:50:42  The companion says '这这是，这是他，这是他在去日本的箱子。然后你知道这个箱子里面装的是什么吗？另一个箱子。'
19:50:43–19:50:48  The companion says '这个箱子里面是他朋友，是他在那个日本的朋友买了特别多的快递，然后寄到罗湖口岸。他还特意给谢老师又寄了一个行李箱，让谢老师把那个东西给他带过去。'
19:50:48–19:50:51  I say '啊！然后他自己就啥也没带。'
19:50:52–19:50:56  The companion says '他日本的是留学大姐，现在还是初，医学生。'
19:50:57–19:50:58  I say '哦。'
19:50:59–19:51:07  The companion says '对，在日本留学的医学生，应该也挺多年了吧？'
19:51:07–19:51:17  I walk along the outdoor walkway.
19:51:17–19:51:28  I say '哦，那天那个中介跟我说，这这一座里面出来一个独卫的房间，我要不要租？'
19:51:28–19:51:36  I say '然后他那个房间是双人床，就不是我现在这种。'
19:51:37–19:51:41  I walk along the outdoor corridor.
19:51:41–19:51:46  I walk past the estate signpost.
19:51:47–19:51:54  I look down at the floor.
19:51:55–19:51:58  I say '蜗牛哎。没有，还在活着。'.
19:51:58–19:52:03  I say '哎，它耳朵还收进去了。'.
19:52:04–19:52:07  I say '啊。'.
19:52:07–19:52:10  I look at a small creature on the ground.
19:52:10–19:52:13  I say '我把它踢边上去，不然会被踩死的。'
19:52:13–19:52:20  I watch my companion pick up the creature.
19:52:20–19:52:25  I watch my companion place the creature into the bushes.
19:52:25–19:52:28  My companion says '那你拿着吧。'
19:52:28–19:52:36  I walk along the walkway.
19:52:37–19:52:42  I say '我真是个好心，不然很容易被一脚踩死的。'
19:52:42–19:52:45  I say '遇到我，他算是遇到恩人了。'
19:52:45–19:52:48  I say '啊，把你的气收回去。'
19:52:48–19:52:51  I say '唉，收回去。'
19:52:51–19:52:57  I say '唉，怎么只他不抽呢？'
19:52:57–19:53:01  Companion says '干哈？'
19:53:01–19:53:06  I say '好玩儿呢，哥哥。'
19:53:07–19:53:11  I walk along the walkway.
19:53:11–19:53:16  I walk forward.
19:53:16–19:53:21  I hold my phone.
19:53:22–19:53:26  I walk towards the corridor bend.
19:53:27–19:53:32  I turn toward the building entrance.
19:53:33–19:53:36  I approach the glass entrance.
19:53:37–19:53:40  I walk along the walkway following my companion.
19:53:40–19:53:43  I follow my companion to the lobby entrance.
19:53:44–19:53:47  I walk down the stairs into the lobby.
19:53:48–19:53:51  I walk toward the South Court entrance.
19:53:51–19:53:53  My companion says '在这边，这边差一点。'.
19:53:53–19:53:55  I pull open the glass door.
19:53:55–19:53:58  I walk into the elevator hallway.
19:53:59–19:54:02  I look toward the elevator call button.
19:54:03–19:54:06  I look at the elevator floor indicator showing '▼ 17'.
19:54:07–19:54:09  User 1 says '你的温暖，我的温暖，怎么不一样？'.
19:54:09–19:54:10  I say '他的。'.
19:54:10–19:54:13  User 1 says '晚上要吃土豆泥火鸡面吗？'.
19:54:13–19:54:16  I say '我倒是想吃一个松饼。'.
19:54:16–19:54:20  User 1 says '哪位好心的田螺姑娘给你做呢？哪位呢？'.
19:54:20–19:54:26  User 1 says '你的田螺，我的田螺，怎么不一样？'.
19:54:27–19:54:29  I say '为什么这个电梯？'.
19:54:30–19:54:33  I enter the elevator.
19:54:34–19:54:36  I turn to face the elevator doors.
19:54:37–19:54:39  I observe the elevator ceiling chandelier.
19:54:39–19:54:40  I say '这么高啊'.
19:54:40–19:54:46  My companion says '就是为了搬那个货物的时候运一点嘛。就比如说那种特别高的床啊什么之类的，柜子之类的，都比较方便运输。'
19:54:46–19:54:47  I monitor the elevator floor display.
19:54:47–19:54:48  I say '嗯，有可能。'
19:54:48–19:54:51  I look at my companion.
19:54:51–19:54:53  My companion says '亲我一下。'
19:54:53–19:55:00  My companion says '已经敷衍成这样了吗？现在，谢谢你，还愿意撅下嘴哦。哈哈哈。'
19:55:00–19:55:03  I check our elevator mirror reflection.
19:55:03–19:55:07  I raise my hand toward my face.
19:55:07–19:55:11  I stand in the elevator.
19:55:11–19:55:14  The companion says '你不会是，有镜头在这放不开吧？'.
19:55:14–19:55:16  I watch the elevator doors open.
19:55:16–19:55:20  I follow my companion out of the elevator.
19:55:20–19:55:22  The companion says '哎呀，还有'.
19:55:22–19:55:25  I say '哎，我不搬，不搬，搬不了，谁？'.
19:55:25–19:55:36  I watch my companion unlock the door.
19:55:37–19:55:43  I open the apartment front door.
19:55:44–19:55:53  I follow User X through the doorway into the indoor hallway.
19:55:54–19:56:01  I walk down the hallway past a storage cabinet and wall notices.
19:56:02–19:56:04  I enter the bedroom behind User X.
19:56:05–19:56:07  I turn on the room lighting with a remote control.
19:56:07–19:56:09  I say '好热呀！'
19:56:09–19:56:12  I say '我今我今天早上，我今天早上猜到你晚上要来，可以稍微。'
19:56:13–19:56:16  I place my phone on the desk.
19:56:17–19:56:19  I inspect the upper bookshelf.
19:56:20–19:56:24  I turn toward the bed and entryway.
19:56:25–19:56:26  User Y says '啊，这也能猜到？你是预言家吗？真羡慕。'
19:56:27–19:56:32  I take off my jacket.
19:56:33–19:56:35  I pick up my water bottle.
19:56:36–19:56:37  I look toward the electric kettle.
19:56:37–19:56:41  I look around the bedroom.
19:56:41–19:56:43  I look toward my companion.
19:56:44–19:56:47  I open the water bottle lid.
19:56:47–19:56:52  I inspect the water bottle.
19:56:53–19:56:55  I pick up the AC remote.
19:56:55–19:56:57  I set the AC remote to 22°C.
19:56:58–19:57:00  I point the remote at the air conditioner.
19:57:01–19:57:06  I place the remote on the desk.
19:57:07–19:57:09  I look at the bookshelf.
19:57:10–19:57:13  I hold my backpack.
19:57:14–19:57:16  She says '内衣取掉，太闷，憋死了！啊，干嘛还穿呢？'.
19:57:17–19:57:21  She says '哦，对，你把这些放到厨房去吧。'.
19:57:22–19:57:26  I say '意思是你现在吃不吃？咱俩一人，咱俩一起吃一根儿吧。' to companion.
19:57:27–19:57:29  She says '行，我估计吃不了。'.
19:57:30–19:57:33  She says '你这衣服给我洗过没？我只想问一下。'.
19:57:34–19:57:37  I say '没有。你觉得我？' to companion.
19:57:37–19:57:38  The roommate asks '像是会洗我的吗？'.
19:57:38–19:57:39  I say '哦，你帮我洗一下，谢谢。'.
19:57:39–19:57:40  The roommate says '不用洗。'.
19:57:41–19:57:43  I check my backpack.
19:57:44–19:57:46  I place my MacBook on the desk.
19:57:47–19:57:52  I grab the charging cable.
19:57:53–19:57:55  I plug the cable into the MacBook.
19:57:56–19:57:58  I open the MacBook lid.
19:57:59–19:58:04  I search through the backpack.
19:58:05–19:58:06  I retrieve a white notebook from the backpack.
19:58:07–19:58:16  I rummage in my backpack.
19:58:17–19:58:18  I take out a pen.
19:58:19–19:58:21  I place the backpack on the suitcase.
19:58:22–19:58:25  I walk to the desk.
19:58:26–19:58:29  I pick up a sheet of paper.
19:58:30–19:58:32  I look at the utility cart.
19:58:33–19:58:34  I read the kernel ridge regression derivation.
19:58:35–19:58:35  I say '嗯。'
19:58:36–19:58:36  I inspect the matrix notes.
19:58:37–19:58:38  I lower the paper sheet.
19:58:39–19:58:42  I place blank paper over the MacBook keyboard.
19:58:43–19:58:48  I review the exam schedule on my MacBook.
19:58:49–19:58:50  I switch to the weekly schedule tab.
19:58:51–19:58:55  I check an order query tab.
19:58:56–19:58:57  I view the HKU Portal home tab.
19:58:58–19:59:03  I read the MATH6502/7502 homework PDF.
19:59:04–19:59:06  I say '嗯。' while picking up a pen.
19:59:07–19:59:14  I read the MATH6502/7502 Homework Assignment 5 PDF.
19:59:15–19:59:17  I glance around the desk.
19:59:18–19:59:20  I look at the blank paper.
19:59:21–19:59:25  I re-read problem 2 on the screen.
19:59:26–19:59:31  I adjust my grip on the pen.
19:59:32–19:59:36  I sketch a 3D box diagram.
19:59:37–19:59:39  I examine the sketched diagram.
19:59:39–19:59:42  I read Question 2 on the MacBook screen.
19:59:42–19:59:47  I inspect region A of the diagram.
19:59:47–19:59:53  I write 'Randomly pick' on the paper.
19:59:53–20:00:03  I review the notes on the paper.
20:00:03–20:00:04  I say '嗯。'.
20:00:04–20:00:07  I survey the bedroom.
20:00:07–20:00:09  I look at the air conditioner.
20:00:09–20:00:10  I say '嗯。'
20:00:10–20:00:12  I glance at the utility cart.
20:00:12–20:00:16  I inspect the notepad on my lap.
20:00:16–20:00:22  I write 'vector'.
20:00:22–20:00:27  I write 'into A'.
20:00:27–20:00:32  I write 'with prob p'.
20:00:32–20:00:37  I review the handwritten sentence.
20:00:37–20:00:46  I examine the diagram and notes on the paper.
20:00:46–20:00:52  I write 'randomly pick' and 'C is' on the paper.
20:00:52–20:00:57  I read Problem 2 of MATH6502/7502 Homework Assignment 5.
20:00:57–20:00:59  I say '嗯。'
20:00:59–20:01:01  I read the Problem 2 hint describing sets A and B.
20:01:01–20:01:07  I write notes below the diagram on the paper.
20:01:07–20:01:11  I write math homework notes.
20:01:12–20:01:13  I read math homework problems on the laptop.
20:01:14–20:01:22  I write notes on vector probability.
20:01:23–20:01:26  I take a cucumber from my roommate.
20:01:27–20:01:33  I look at my roommate.
20:01:34–20:01:37  I say "嗯。" to my roommate.
20:01:37–20:01:42  I hold a cucumber.
20:01:43–20:01:47  I inspect the upper bookshelf.
20:01:48–20:01:52  I look at a cat figurine.
20:01:53–20:01:56  I look at my smartphone.
20:01:57–20:02:01  I read the probability assignment.
20:02:02–20:02:04  I check a medicine box.
20:02:05–20:02:06  I look at the desk center.
20:02:07–20:02:09  I pick up a glass mug.
20:02:09–20:02:12  I say '这杯子咋没用就脏了？'
20:02:12–20:02:16  I examine the glass cup.
20:02:16–20:02:19  I say '这杯子咋没用就脏了？'
20:02:19–20:02:23  I inspect the glass cup.
20:02:23–20:02:25  I say '感觉。'
20:02:25–20:02:33  I scrutinize the glass cup markings.
20:02:33–20:02:35  I say '哦。'
20:02:35–20:02:37  I look inside the glass cup.
20:02:37–20:02:40  I hold a glass mug and cucumber.
20:02:41–20:02:45  I say '这里头种个绿植。'
20:02:46–20:02:50  I insert the cucumber into the glass mug.
20:02:51–20:02:57  I say '我那天看最搞笑的，他说黄瓜这个在旁边种着最好了，又能当绿植养护眼睛，'
20:02:58–20:03:00  I say '饿了。' to my roommate.
20:03:01–20:03:06  I adjust the cucumber in the glass mug.
20:03:07–20:03:09  I look at my roommate.
20:03:09–20:03:14  I watch my roommate hold a cucumber.
20:03:14–20:03:16  I say '还能啃两口。'
20:03:16–20:03:18  I say '明天还可以做黄瓜炒火腿。'
20:03:18–20:03:21  I watch my roommate.
20:03:21–20:03:25  I look at items on the desk.
20:03:25–20:03:28  I look at a figurine on the shelf.
20:03:28–20:03:31  I look at the air conditioner remote.
20:03:31–20:03:36  I look at my seated roommate.
20:03:36–20:03:37  I look at the cucumber stub.
20:03:37–20:03:40  The companion says "哼哼，干嘛啊？".
20:03:40–20:03:42  I say "录着呢。".
20:03:42–20:03:44  The companion says "录呗。".
20:03:44–20:03:48  The companion says "侵犯我肖像权。".
20:03:48–20:03:54  I say "侵犯的就是你肖像权。".
20:03:54–20:03:57  The companion says "什么意思？".
20:03:57–20:04:07  I say "就是侵犯你肖像权。".
20:04:07–20:04:09  The woman says "自己录自己去。"
20:04:09–20:04:15  I eat a cucumber.
20:04:15–20:04:20  I observe the shelf items.
20:04:20–20:04:23  I reach toward her shoulder.
20:04:23–20:04:25  The woman says "干嘛？别撕！"
20:04:25–20:04:30  The woman says "看见东西就想撕，看见豆就想挤，看见屎就想掏。"
20:04:30–20:04:36  I look at the bookshelf.
20:04:37–20:04:40  I look around the bedroom.
20:04:41–20:04:46  I lift an object.
20:04:47–20:04:53  I pan towards the shelf and computer desk.
20:04:54–20:05:00  I turn towards the window and wardrobe area.
20:05:01–20:05:07  I hold a piece of cucumber.
20:05:07–20:05:12  I say "睡觉之前去，晚上睡觉之前去" to my friend.
20:05:13–20:05:15  My friend asks "睡哪个觉？".
20:05:16–20:05:20  I say "闭上眼睛的那个睡觉".
20:05:21–20:05:24  My friend asks "哪种闭上眼睛？".
20:05:25–20:05:30  I say "嗯，好像".
20:05:31–20:05:36  I look toward the shelf and open laptop.
20:05:37–20:05:39  I listen to my friend saying '去浮潜，浮潜那天真开心。'
20:05:39–20:05:42  My friend asks '这谁茄子？'
20:05:42–20:05:44  I ask '你从哪看出来这是茄子？颜色？'
20:05:44–20:05:46  I say '这不葡萄吗？'
20:05:46–20:05:49  My friend says '你家茄子长圆呗？圆茄子，茄子宝宝。'
20:05:49–20:05:56  I laugh saying '哈哈哈！'
20:05:56–20:06:01  My friend says '哈哈哈！我说了没干？'
20:06:01–20:06:07  My friend says '哈哈哈！我说。'
20:06:07–20:06:11  I say '我都没干，我什么都没干，我是摸一下你的肚子。'
20:06:12–20:06:17  I examine the 'logaloga' tag.
20:06:18–20:06:21  I look at the desk.
20:06:22–20:06:24  User X says '嗯。啊啊！这是什么？'
20:06:25–20:06:31  I watch User X bite the cucumber.
20:06:32–20:06:36  User X says '我们好。'
20:06:37–20:06:46  I feed a green snack to the woman.
20:06:46–20:06:50  The woman says '黄瓜鱼啊！'
20:06:50–20:07:00  I watch the woman chewing.
20:07:00–20:07:02  The woman says '哦哦哦！'
20:07:02–20:07:05  I say '续上，续上。'
20:07:05–20:07:07  I monitor the woman eating.
20:07:07–20:07:10  My companion says '今晚没咋吃菜，土豆不算菜吧？'.
20:07:10–20:07:13  I say '土豆不算菜，算什么？算主食吗？'.
20:07:13–20:07:14  My companion says '对啊。'.
20:07:14–20:07:17  I say '我把放上土豆是算素菜来的。'.
20:07:17–20:07:22  My companion says '我感觉唯一算菜的应该是那个辣椒。'.
20:07:22–20:07:25  I say '我俩之前不也这样点的吗？'.
20:07:25–20:07:29  My companion says '嗯，对，没啥问题，反正。'.
20:07:29–20:07:31  I pick up a grape plush toy keychain.
20:07:31–20:07:34  I examine the grape plush toy and its tag.
20:07:34–20:07:37  I read the product tag on the grape plush toy.
20:07:37–20:07:40  I inspect the tag on a plush grape keychain.
20:07:40–20:07:43  I place the plush grape keychain on the shelf.
20:07:43–20:07:51  I examine the homework assignment on my laptop screen.
20:07:51–20:07:54  I position my pen on the notepad.
20:07:54–20:08:02  I write 'B is far from A' on the notepad.
20:08:02–20:08:07  I say '嗯。'.
20:08:07–20:08:11  Write math notes and formulas on a sheet of paper with a pen
20:08:12–20:08:18  Continue writing on paper
20:08:19–20:08:24  Observe roommate sorting clothes or items by the bed
20:08:25–20:08:30  Pick up charging cable from desk
20:08:31–20:08:37  Hand charging cable to roommate
20:08:37–20:08:39  Hold a charging cable near another person.
20:08:40–20:08:42  Examine the charging cable connector.
20:08:43–20:08:46  Gesture while holding the cable.
20:08:47–20:08:50  Look away from User X.
20:08:51–20:08:53  Talk.
20:08:54–20:08:57  Look at the desk surface and laptop screen.
20:08:58–20:09:01  Adjust my glasses.
20:09:02–20:09:07  Open a drawer underneath the desk.
20:09:07–20:09:09  Roommate says '没有，包没有的.'
20:09:09–20:09:11  Roommate says '你先掏你自己的吧。'
20:09:11–20:09:13  I say '我掏过了。'
20:09:13–20:09:16  I say '让我写完作业再掏。'
20:09:16–20:09:20  Roommate says '像是我知道你写你的，你别管我。'
20:09:20–20:09:26  I review homework assignment 5.
20:09:26–20:09:32  Roommate says '有有有，谁说没有骗子？'
20:09:32–20:09:37  I study the probability problem.
20:09:37–20:09:40  I say '你别龇牙咧嘴的！'
20:09:40–20:09:44  I say '我先观察一下，这边有多少？'
20:09:44–20:09:54  I say '这边有一坨，但是那坨在里面，得让你躺下我才好摸。'
20:09:54–20:09:57  I pick up a ballpoint pen.
20:09:57–20:10:03  I say '再看一下这边。'
20:10:03–20:10:07  I compare my handwritten notes with the assignment on my laptop.
20:10:07–20:10:13  I review homework notes and PDF.
20:10:13–20:10:20  I hear '这边也有毒粉塔，下挖吧。'
20:10:20–20:10:23  I notice User X approaching.
20:10:23–20:10:30  I say '你别用手抠，别别别用，你别用手抠，我来抠。'
20:10:30–20:10:33  I say '操，掉出来了。'
20:10:33–20:10:36  I say '哎呀，不是你这都看都看不着，你怎么？'
20:10:36–20:10:37  I look down at my desk.
20:10:37–20:10:39  The person beside me asks '知道没有？'.
20:10:39–20:10:41  I say '我能感受到啊。'
20:10:41–20:10:44  The person beside me says '好吧。User X，你真是。'
20:10:44–20:10:48  I say '我能感觉到有一点，但我没办法确定具体位置。'
20:10:48–20:10:52  I position my pen over the note about set C.
20:10:52–20:10:55  I rest my hand on the desk.
20:10:55–20:11:02  I read 'B is far from A (have at least 4 diff)'.
20:11:02–20:11:06  I read 'C is close to A (has 3 most difference)'.
20:11:07–20:11:11  I read handwritten math notes.
20:11:12–20:11:12  I look at the homework PDF.
20:11:13–20:11:19  I review my handwritten notes.
20:11:20–20:11:26  I read the hint on the laptop screen.
20:11:27–20:11:29  I hold a pen in my right hand.
20:11:30–20:11:36  I examine the handwritten notes.
20:11:37–20:11:43  I review notes on paper.
20:11:44–20:11:50  I write notes on paper.
20:11:51–20:11:53  I watch roommate handling a phone.
20:11:53–20:11:54  Roommate says '哦，逃出来了！就说了，感觉好像是。'
20:11:55–20:12:06  I write math notes on paper.
20:12:07–20:12:12  I finish writing notes.
20:12:13–20:12:16  I review the handwritten notes.
20:12:17–20:12:26  I write 'E|A'| ='.
20:12:27–20:12:29  I say '嗯。'.
20:12:30–20:12:36  I write 'E(A)|T| -'.
20:12:37–20:12:47  Write handwritten mathematical notes and expected value equations on paper with a clear black pen.
20:12:48–20:12:50  Gesture briefly.
20:12:51–20:12:57  Review the written formula on my sheet.
20:12:58–20:13:06  Scan through the handwritten Venn diagram and text on my paper.
20:13:07–20:13:18  I review handwritten math notes.
20:13:19–20:13:28  I draw lines on the diagram.
20:13:29–20:13:37  I inspect the diagram and math equations.
20:14:07–20:14:10  I look at my notes.
20:14:11–20:14:19  I review my math notes.
20:14:20–20:14:31  I hold a pen over my notes.
20:14:32–20:14:34  I look at my phone.
20:14:35–20:14:37  I look back at my notes.
20:14:37–20:14:42  I read the handwritten math notes on scratch paper.
20:14:42–20:14:46  I hold a pen over the paper.
20:14:46–20:14:48  I say '嗯。'.
20:14:48–20:14:54  I examine the diagram and condition statements on the notes paper.
20:14:54–20:14:58  I read the expected value equation on the paper.
20:14:58–20:15:06  I review the top diagram and formula on the paper.
20:15:07–20:15:18  I examine handwritten notes.
20:15:18–20:15:23  I pick up a ballpoint pen.
20:15:23–20:15:26  I hold the pen.
20:15:26–20:15:27  I say '嗯。'
20:15:27–20:15:30  I position the pen.
20:15:30–20:15:35  I write '+ E(B)'.
20:15:35–20:15:37  I glance at the diagram.
20:15:37–20:15:48  I examine the handwritten math formulas.
20:15:49–20:15:55  I glance at my left hand.
20:15:56–20:15:57  I look at the drawer rail.
20:15:58–20:16:01  I look at the formula line on paper.
20:16:02–20:16:06  I write 'every' on the scratch paper.
20:16:07–20:16:21  Write math notes on a loose sheet of paper
20:16:22–20:16:36  Add '≤ 3' to complete the mathematical inequality formula on the paper
20:16:37–20:17:06  Write notes and solutions on a blank sheet of paper referencing a PDF.
20:17:37–20:17:41  I write probability conditions.
20:17:41–20:17:58  I review the derivation.
20:17:58–20:18:01  I say '嗯。'
20:18:01–20:18:07  I write '(1 - p)' on the notepad.
20:18:07–20:18:13  I pause over my math notes.
20:18:14–20:18:18  I look toward my lap.
20:18:19–20:18:33  I write binomial probability expansion terms.
20:18:34–20:18:36  I say '嗯。'
20:18:37–20:18:58  I review my handwritten probability formula.
20:18:59–20:19:01  I say '嗯。'
20:19:01–20:19:04  I re-examine the vector distance condition on paper.
20:19:04–20:19:07  I glance across the paper and laptop keyboard.
20:19:07–20:19:12  I read my handwritten math notes on binary vectors.
20:19:13–20:19:24  I glance at the side rolling cart.
20:19:25–20:19:26  I say '嗯。'
20:19:27–20:19:36  I examine the set diagram and expectation equation on my notes.
20:20:07–20:20:13  I write 'All the point x'.
20:20:14–20:20:21  I write ', dis(x, b) <= 3,'.
20:20:22–20:20:31  I write 'must not belong A'.
20:20:32–20:20:36  I review the written derivation.
20:20:37–20:20:47  I review my handwritten notes.
20:20:47–20:20:49  I say '嗯。'
20:20:49–20:20:56  I write 'num(x) =' on the paper.
20:20:56–20:21:06  I write 'C_n^0 + C_n^1 + C_n^2 + C_n^3'.
20:21:07–20:21:14  I write '= m'.
20:21:15–20:21:23  I write 'p(b) = (1-p)^m'.
20:21:24–20:21:31  I write 'E(b) = 2^n . (1-p)^m'.
20:21:32–20:21:36  I hold the paper.
20:21:37–20:21:44  I write 'E|A\'| = 2^n (p + (1-p)^m)'.
20:21:45–20:21:48  I glance at the homework PDF.
20:21:49–20:21:54  I look at the expectation formula.
20:21:55–20:21:56  I say '嗯。'
20:21:57–20:22:06  I write '1-p \le e^{-p}'.
20:22:07–20:22:12  I write mathematical formulas on a sheet of paper from a PDF homework assignment.
20:22:13–20:22:19  I write additional math expressions on the paper.
20:22:20–20:22:36  I write inequality steps, mathematical bounds, connecting lines, and annotations on the paper.
20:22:37–20:23:06  I write mathematical derivations and proof steps for probability formulas on a sheet of paper with a black pen.
20:23:07–20:23:19  I examine the mathematical formulas.
